Dataset,Link,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec,mean_grad_norm_inf,sd_grad_norm_inf,n_grad_norm_inf
H2AX4H100,identity,Z+P+NB,0.39101810455322267,0.017627405818966487,5,0.0006117625375410387,0.001114936409212373,5
H2AX4H100,identity,ZIP--ZINB,0.5577280998229981,0.14559565865983554,5,0.010992997935110101,0.01040459847681014,5
H2AX4H100,log,Poisson,0.028983497619628863,0.0008890223864721203,5,0.00010232478519101296,9.542291665126942e-05,5
H2AX4H100,log,NB,0.06844649314880367,0.006441283331514379,5,0.00019628315981875378,0.0003070839549358152,5
H2AX4H100,log,ZIP,0.067003059387207,0.0017400293563061588,5,0.0001409403744217249,0.00011264532008122809,5
H2AX4H100,log,ZINB,0.21034274101257325,0.009186328571971845,5,0.0010244054102118978,0.0015544516700644992,5
H2AX4H100,log,P+NB,0.4144429206848145,0.05455692107741727,5,0.0013537815673369924,0.0025977862213703924,5
H2AX4H100,log,Z+P+NB,0.39698042869567873,0.030532556361086715,5,0.0030490507242059628,0.004301674290415609,5
H2AX4H100,log,ZIP--ZINB,0.49191718101501464,0.10868925332437508,5,0.03915298494481436,0.05305924013259607,5
C3,log,Poisson,0.0769888877868652,0.01518397075782609,5,0.0019571856431695603,0.0016831329729207535,5
C3,log,NB,0.22332205772399902,0.04127883647721972,5,0.0003799616209643611,0.00039105257416288436,5
C3,log,ZIP,0.2473237037658691,0.026286978363266756,5,0.00150660586697094,0.0017003138275552422,5
C3,log,ZINB,0.6755127906799316,0.1144859383121397,5,0.0030012443062815597,0.0027974447329487716,5
C3,log,P+NB,1.4587904930114746,0.23019238329707578,5,0.001049189860492,0.0011135602929958528,5
C3,log,Z+P+NB,2.5165923118591307,0.3175365702524901,5,0.08935580227997089,0.072993961054682,5
C3,log,ZIP--ZINB,4.266568279266357,0.7841528131818937,5,0.16998310184361676,0.18129324725275447,5
