Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,18,ZIP--ZINB,1,2.1022786881182975
D1,Dataset 1,18,ZIP--ZINB,2,0.9594796765840308
D1,Dataset 1,18,ZIP--ZINB,3,-2.2050686132406248
D1,Dataset 1,18,ZIP--ZINB,4,1.0903624979549025
D1,Dataset 1,18,ZIP--ZINB,5,3.8908289919616617
D1,Dataset 1,18,ZIP--ZINB,6,3.548912320427777
D1,Dataset 1,18,ZIP--ZINB,7,1.2356013328248125
D1,Dataset 1,18,ZIP--ZINB,8,-2.9400883874503676
D1,Dataset 1,18,ZIP--ZINB,9,0.43592822286574046
D1,Dataset 1,16,ZIP--ZINB,0,0.7544774492517562
D1,Dataset 1,16,ZIP--ZINB,1,1.9741172239849163
D1,Dataset 1,16,ZIP--ZINB,2,1.0587951144774128
D1,Dataset 1,16,ZIP--ZINB,3,-2.0812506208403163
D1,Dataset 1,16,ZIP--ZINB,4,1.0047928444480314
D1,Dataset 1,16,ZIP--ZINB,5,3.6493638027405946
D1,Dataset 1,16,ZIP--ZINB,6,3.2889125682871403
D1,Dataset 1,16,ZIP--ZINB,7,0.6952290656461707
D1,Dataset 1,16,ZIP--ZINB,8,-2.979695983237078
D1,Dataset 1,16,ZIP--ZINB,9,0.5281460572364829
D1,Dataset 1,20,ZIP--ZINB,0,0.8567647929958877
D1,Dataset 1,20,ZIP--ZINB,1,2.0474586025098502
D1,Dataset 1,20,ZIP--ZINB,2,0.9488282241032535
D1,Dataset 1,20,ZIP--ZINB,3,-2.0840869805591216
D1,Dataset 1,20,ZIP--ZINB,4,1.0297422415865092
D1,Dataset 1,20,ZIP--ZINB,5,4.503732500395848
D1,Dataset 1,20,ZIP--ZINB,6,3.3486138761621373
D1,Dataset 1,20,ZIP--ZINB,7,1.2560445009854295
D1,Dataset 1,20,ZIP--ZINB,8,-2.7976615173561323
D1,Dataset 1,20,ZIP--ZINB,9,0.34827752307709936
D1,Dataset 1,21,ZIP--ZINB,0,0.8523473001442852
D1,Dataset 1,21,ZIP--ZINB,1,1.9833142373570118
D1,Dataset 1,21,ZIP--ZINB,2,1.0438225401666268
D1,Dataset 1,21,ZIP--ZINB,3,-2.0150241533754945
D1,Dataset 1,21,ZIP--ZINB,4,0.9916751885835572
D1,Dataset 1,21,ZIP--ZINB,5,3.7329106350487833
D1,Dataset 1,21,ZIP--ZINB,6,3.62750525537231
D1,Dataset 1,21,ZIP--ZINB,7,0.9686264677523573
D1,Dataset 1,21,ZIP--ZINB,8,-2.5919775989104665
D1,Dataset 1,21,ZIP--ZINB,9,0.33425441714800214
D1,Dataset 1,22,ZIP--ZINB,0,0.8138952036446424
D1,Dataset 1,22,ZIP--ZINB,1,1.8727195521899864
D1,Dataset 1,22,ZIP--ZINB,2,1.0954576158906992
D1,Dataset 1,22,ZIP--ZINB,3,-1.8895571318355018
D1,Dataset 1,22,ZIP--ZINB,4,0.949197862221069
D1,Dataset 1,22,ZIP--ZINB,5,3.4281508747048473
D1,Dataset 1,22,ZIP--ZINB,6,3.4753569443665664
D1,Dataset 1,22,ZIP--ZINB,7,1.1615539082014266
D1,Dataset 1,22,ZIP--ZINB,8,-4.179437044519688
D1,Dataset 1,22,ZIP--ZINB,9,0.48632514317767256
D1,Dataset 1,23,ZIP--ZINB,0,0.8001299038105074
D1,Dataset 1,23,ZIP--ZINB,1,2.04434234422347
D1,Dataset 1,23,ZIP--ZINB,2,0.9500908722305073
D1,Dataset 1,23,ZIP--ZINB,3,-2.1591885739490775
D1,Dataset 1,23,ZIP--ZINB,4,1.0781637282578354
D1,Dataset 1,23,ZIP--ZINB,5,4.334320995447636
D1,Dataset 1,23,ZIP--ZINB,6,3.20700814413458
D1,Dataset 1,23,ZIP--ZINB,7,1.21388338378909
D1,Dataset 1,23,ZIP--ZINB,8,-3.127527769547387
D1,Dataset 1,23,ZIP--ZINB,9,0.43499685878529026
D1,Dataset 1,26,ZIP--ZINB,0,0.9029863790007278
D1,Dataset 1,26,ZIP--ZINB,1,1.9892317208247619
D1,Dataset 1,26,ZIP--ZINB,2,1.0350898007697118
D1,Dataset 1,26,ZIP--ZINB,3,-1.9415362790274497
D1,Dataset 1,26,ZIP--ZINB,4,0.9829134578324928
D1,Dataset 1,26,ZIP--ZINB,5,3.809277302551236
D1,Dataset 1,26,ZIP--ZINB,6,3.7549125703243957
D1,Dataset 1,26,ZIP--ZINB,7,1.1225392010310598
D1,Dataset 1,26,ZIP--ZINB,8,-3.351032868070911
D1,Dataset 1,26,ZIP--ZINB,9,0.3832859962024659
D1,Dataset 1,28,ZIP--ZINB,0,0.8219716382472012
D1,Dataset 1,28,ZIP--ZINB,1,1.9644943044683565
D1,Dataset 1,28,ZIP--ZINB,2,1.0209981795391752
D1,Dataset 1,28,ZIP--ZINB,3,-2.0354180344810944
D1,Dataset 1,28,ZIP--ZINB,4,1.0365634720263726
D1,Dataset 1,28,ZIP--ZINB,5,4.154696790483491
D1,Dataset 1,28,ZIP--ZINB,6,3.1478897503074865
D1,Dataset 1,28,ZIP--ZINB,7,0.883417265773498
D1,Dataset 1,28,ZIP--ZINB,8,-2.7898653934459388
D1,Dataset 1,28,ZIP--ZINB,9,0.4380676920712944
D1,Dataset 1,27,ZIP--ZINB,0,0.8179898554164676
D1,Dataset 1,27,ZIP--ZINB,1,1.959871793939083
D1,Dataset 1,27,ZIP--ZINB,2,1.0162146086169888
D1,Dataset 1,27,ZIP--ZINB,3,-2.074766137016197
D1,Dataset 1,27,ZIP--ZINB,4,1.016812928915767
D1,Dataset 1,27,ZIP--ZINB,5,4.162392719885005
D1,Dataset 1,27,ZIP--ZINB,6,3.4516851464908167
D1,Dataset 1,27,ZIP--ZINB,7,0.7437764238838143
D1,Dataset 1,27,ZIP--ZINB,8,-2.1479116287897857
D1,Dataset 1,27,ZIP--ZINB,9,0.4093387906384836
D1,Dataset 1,25,ZIP--ZINB,0,0.7679503800179946
D1,Dataset 1,25,ZIP--ZINB,1,1.9811899358466902
D1,Dataset 1,25,ZIP--ZINB,2,1.0333040528055417
D1,Dataset 1,25,ZIP--ZINB,3,-2.351524773410985
D1,Dataset 1,25,ZIP--ZINB,4,1.158519875906109
D1,Dataset 1,25,ZIP--ZINB,5,3.9692022955046418
D1,Dataset 1,25,ZIP--ZINB,6,3.3368888338134526
D1,Dataset 1,25,ZIP--ZINB,7,0.8522844845952032
D1,Dataset 1,25,ZIP--ZINB,8,-2.363433622933361
D1,Dataset 1,25,ZIP--ZINB,9,0.47784231509593333
D1,Dataset 1,24,ZIP--ZINB,0,0.7852259823076014
D1,Dataset 1,24,ZIP--ZINB,1,1.9848191387552871
D1,Dataset 1,24,ZIP--ZINB,2,1.0063529207867963
D1,Dataset 1,24,ZIP--ZINB,3,-2.018152910197365
D1,Dataset 1,24,ZIP--ZINB,4,1.0101627923713223
D1,Dataset 1,24,ZIP--ZINB,5,3.4946041996561465
D1,Dataset 1,24,ZIP--ZINB,6,3.571381704769063
D1,Dataset 1,24,ZIP--ZINB,7,1.0034430324680759
D1,Dataset 1,24,ZIP--ZINB,8,-3.5378334249205223
D1,Dataset 1,24,ZIP--ZINB,9,0.4829918723042388
D1,Dataset 1,29,ZIP--ZINB,0,0.8265113731040173
D1,Dataset 1,29,ZIP--ZINB,1,1.9351333061304952
D1,Dataset 1,29,ZIP--ZINB,2,1.0605908934323325
D1,Dataset 1,29,ZIP--ZINB,3,-2.0013484342099326
D1,Dataset 1,29,ZIP--ZINB,4,1.0270423535429798
D1,Dataset 1,29,ZIP--ZINB,5,4.749983333011822
D1,Dataset 1,29,ZIP--ZINB,6,3.0343759629957217
D1,Dataset 1,29,ZIP--ZINB,7,1.1891371801225858
D1,Dataset 1,29,ZIP--ZINB,8,-3.3075295798755264
D1,Dataset 1,29,ZIP--ZINB,9,0.38621289561036043
D1,Dataset 1,30,ZIP--ZINB,0,0.8120262031172631
D1,Dataset 1,30,ZIP--ZINB,1,1.9934754742801002
D1,Dataset 1,30,ZIP--ZINB,2,1.0290319961568486
D1,Dataset 1,30,ZIP--ZINB,3,-2.0055365790471913
D1,Dataset 1,30,ZIP--ZINB,4,0.9814304454549244
D1,Dataset 1,30,ZIP--ZINB,5,3.552300014102251
D1,Dataset 1,30,ZIP--ZINB,6,3.594615111806487
