Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,12,ZIP,ZIP--ZINB,-71594.76534888809,-44710.415420043,53768.69985769018,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,12,ZINB,ZIP--ZINB,-46003.343750329725,-44710.415420043,2585.8566605734522,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,12,Z+P+NB,ZIP--ZINB,-44791.077178228006,-44710.415420043,161.32351637001557,2,0,9.312011842904615e-36,True,chi²(df=2)
D1,Dataset 1,13,Poisson,ZIP--ZINB,-100779.04027354409,-44635.97305944033,112286.13442820752,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,NB,ZIP--ZINB,-46582.68992710481,-44635.97305944033,3893.4337353289593,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,P+NB,ZIP--ZINB,-45208.79417825848,-44635.97305944033,1145.6422376363043,nan,2,4.4144767547141665e-250,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,ZIP,ZIP--ZINB,-72690.83504661807,-44635.97305944033,56109.72397435548,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,13,ZINB,ZIP--ZINB,-45880.06356428562,-44635.97305944033,2488.181009690583,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,13,Z+P+NB,ZIP--ZINB,-44694.83510139297,-44635.97305944033,117.7240839052829,2,0,2.732373007650453e-26,True,chi²(df=2)
D1,Dataset 1,15,Poisson,ZIP--ZINB,-97430.03174522571,-44482.360228769714,105895.343032912,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,NB,ZIP--ZINB,-46424.39590131583,-44482.360228769714,3884.071345092234,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,P+NB,ZIP--ZINB,-45061.006021218884,-44482.360228769714,1157.2915848983394,nan,2,1.3036385565805934e-252,True,chi-bar² heuristic; k=2
D1,Dataset 1,15,ZIP,ZIP--ZINB,-70402.92484632738,-44482.360228769714,51841.12923511534,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,15,ZINB,ZIP--ZINB,-45720.21348128558,-44482.360228769714,2475.7065050317324,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,15,Z+P+NB,ZIP--ZINB,-44557.990506810325,-44482.360228769714,151.2605560812226,2,0,1.4262234805512908e-33,True,chi²(df=2)
D1,Dataset 1,19,Poisson,ZIP--ZINB,-98436.0094584139,-44338.89328110627,108194.23235461526,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,NB,ZIP--ZINB,-46340.51045396707,-44338.89328110627,4003.2343457216048,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,P+NB,ZIP--ZINB,-44962.71728233735,-44338.89328110627,1247.648002462156,nan,2,3.117408502580513e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,ZIP,ZIP--ZINB,-70557.42005119036,-44338.89328110627,52437.053540168185,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,19,ZINB,ZIP--ZINB,-45561.630638011,-44338.89328110627,2445.474713809468,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,19,Z+P+NB,ZIP--ZINB,-44382.13364152131,-44338.89328110627,86.48072083007719,2,0,1.6632214459157452e-19,True,chi²(df=2)
D1,Dataset 1,17,Poisson,ZIP--ZINB,-97116.57586043174,-44471.11378947631,105290.92414191086,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,NB,ZIP--ZINB,-46508.35784353214,-44471.11378947631,4074.488108111662,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,P+NB,ZIP--ZINB,-45057.39299537701,-44471.11378947631,1172.5584118014085,nan,2,6.307845738917238e-256,True,chi-bar² heuristic; k=2
D1,Dataset 1,17,ZIP,ZIP--ZINB,-70488.64801507659,-44471.11378947631,52035.068451200554,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,17,ZINB,ZIP--ZINB,-45790.283664424824,-44471.11378947631,2638.33974989703,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,17,Z+P+NB,ZIP--ZINB,-44533.759895540614,-44471.11378947631,125.29221212861012,2,0,6.210718188175525e-28,True,chi²(df=2)
