Scenario,Dataset,Rep,Count,Observed,Expected,RootogramDiff
D3,Dataset 3,1,>60,11.0,11.08811748471706,-0.013257712784472186
D3,Dataset 3,0,0,13040.0,13035.096486817592,0.021472340686841562
D3,Dataset 3,0,1,531.0,549.9577093498859,-0.4077398984884688
D3,Dataset 3,0,2,663.0,664.6822353787902,-0.03264560935462768
D3,Dataset 3,0,3,768.0,749.6818907804909,0.3324935149940984
D3,Dataset 3,0,4,795.0,772.7591951878657,0.3971977216929261
D3,Dataset 3,0,5,735.0,725.7256672066019,0.1715874562852555
D3,Dataset 3,0,6,566.0,625.9748276972125,-1.228734450814283
D3,Dataset 3,0,7,521.0,503.4959298016834,0.3867094444135013
D3,Dataset 3,0,8,410.0,385.7105589341782,0.6089414894839038
D3,Dataset 3,0,9,275.0,288.9061300630407,-0.41411494349774713
D3,Dataset 3,0,10,209.0,217.69057653728237,-0.29750864396286936
D3,Dataset 3,0,11,164.0,169.04183147455606,-0.19536032845383922
D3,Dataset 3,0,12,157.0,136.97504065317395,0.8263304344429798
D3,Dataset 3,0,13,114.0,115.67416996802675,-0.07811444582523386
D3,Dataset 3,0,14,99.0,100.80177169714467,-0.09013417958477454
D3,Dataset 3,0,15,91.0,89.60751283266268,0.07326752562279992
D3,Dataset 3,0,16,80.0,80.53709941564715,-0.029974543918136476
D3,Dataset 3,0,17,62.0,72.78068244439615,-0.6571516277438647
D3,Dataset 3,0,18,67.0,65.93423492129955,0.06536293682342276
D3,Dataset 3,0,19,64.0,59.793850274018844,0.2673516649197838
D3,Dataset 3,0,20,41.0,54.24727501406988,-0.9621507074738167
D3,Dataset 3,0,21,46.0,49.222571746553456,-0.23354998638343627
D3,Dataset 3,0,22,49.0,44.665831530556964,0.3167499275758834
D3,Dataset 3,0,23,43.0,40.53211590228796,0.19095473006455954
D3,Dataset 3,0,24,32.0,36.78190496979707,-0.40795448366623965
D3,Dataset 3,0,25,47.0,33.379670798849425,1.0781403599296784
D3,Dataset 3,0,26,24.0,30.29322356882526,-0.6049485271192445
D3,Dataset 3,0,27,26.0,27.493329739247113,-0.14438870427916672
D3,Dataset 3,0,28,24.0,24.953429017021683,-0.09636124525688672
D3,Dataset 3,0,29,21.0,22.649393579536262,-0.1765622080194733
D3,Dataset 3,0,30,24.0,20.559311765604484,0.36474175849419854
D3,Dataset 3,0,31,21.0,18.663290491921817,0.26247262999062837
D3,Dataset 3,0,32,19.0,16.943274148563003,0.24267808593803508
D3,Dataset 3,0,33,12.0,15.382878667516257,-0.45799969251816286
D3,Dataset 3,0,34,17.0,13.967239693420925,0.3858285829807455
D3,Dataset 3,0,35,10.0,12.682873849408908,-0.3990246085823239
D3,Dataset 3,0,36,13.0,11.51755212492208,0.2117993509824605
D3,Dataset 3,0,37,14.0,10.460184448982412,0.5074365456775247
D3,Dataset 3,0,38,11.0,9.50071455613187,0.23430187473934305
D3,Dataset 3,0,39,13.0,8.630024301450224,0.6678609749982942
D3,Dataset 3,0,40,12.0,7.839846633215872,0.6641290021974293
D3,Dataset 3,0,41,7.0,7.122686485072453,-0.023084855707819596
D3,Dataset 3,0,42,3.0,6.471748902406864,-0.8119124198396608
D3,Dataset 3,0,43,9.0,5.880873769151203,0.5749487079339533
D3,Dataset 3,0,44,3.0,5.344476550663075,-0.5797615876446867
D3,Dataset 3,0,45,4.0,4.857494515306916,-0.20397243977934432
D3,Dataset 3,0,46,4.0,4.415337941638377,-0.10127055412633057
D3,Dataset 3,0,47,2.0,4.013845859525621,-0.5892449122466361
D3,Dataset 3,0,48,2.0,3.6492459121558243,-0.49608639107814856
D3,Dataset 3,0,49,3.0,3.3181179616642678,-0.0895193836848851
D3,Dataset 3,0,50,3.0,3.017361094226727,-0.0050044863773826
D3,Dataset 3,0,51,2.0,2.7441637109393477,-0.242338190799545
D3,Dataset 3,0,52,2.0,2.495976418856198,-0.16565238727459497
D3,Dataset 3,0,53,5.0,2.2704874622693945,0.7292542988157282
D3,Dataset 3,0,54,6.0,2.065600457880782,1.0122700456314926
D3,Dataset 3,0,55,0.0,1.879414219051018,-1.3709172911051264
D3,Dataset 3,0,56,2.0,1.710204473995454,0.10646569906172498
D3,Dataset 3,0,57,2.0,1.5564073007398125,0.1666530224633831
D3,Dataset 3,0,58,0.0,1.4166041180122604,-1.1902117954432565
D3,Dataset 3,0,59,0.0,1.2895080861471746,-1.1355650955128793
D3,Dataset 3,0,60,1.0,1.1739517856281019,-0.08349055631699054
D3,Dataset 3,0,>60,10.0,12.11315499123827,-0.3181181493967151
