Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D3,Dataset 3,11,D3,Poisson,identity,-76063.77969947219,152131.55939894437,152147.36637404945,20000,2,True,19,12729.88440268948,not_computed,nan,0,Optimization terminated successfully,1.4606902599334717
D3,Dataset 3,11,D3,NB,identity,-33313.79027082797,66633.58054165595,66657.29100431355,20000,3,True,23,3253.7772913866283,not_computed,nan,0,Optimization terminated successfully,6.806297779083252
D3,Dataset 3,11,D3,ZIP,identity,-43663.42540361092,87334.85080722184,87366.46475743198,20000,4,True,15,0.00043492182463000795,not_computed,nan,0,Optimization terminated successfully,7.25143027305603
D3,Dataset 3,11,D3,ZINB,identity,-29857.697923306536,59725.39584661307,59764.913284375754,20000,5,True,19,0.00027402777906877784,not_computed,nan,0,Optimization terminated successfully,15.263377904891968
D3,Dataset 3,11,D3,P+NB,identity,-32624.692526644743,65261.38505328949,65308.8059786047,20000,6,True,24,1727.1989129935007,not_computed,nan,0,Optimization terminated successfully,31.714078426361084
D3,Dataset 3,11,D3,Z+P+NB,identity,-29324.828476808274,58665.65695361655,58728.884854036834,20000,8,True,23,0.00011858394371896952,not_computed,nan,0,Optimization terminated successfully,33.722498655319214
D3,Dataset 3,11,D3,ZIP--ZINB,identity,-29312.758709245732,58645.517418491465,58724.55229401682,20000,10,True,42,0.0003418569386998277,inverse,3.9035614548565496,10,Optimization terminated successfully,72.00165939331055
D3,Dataset 3,7,D3,Poisson,identity,-73642.631516077,147289.263032154,147305.07000725908,20000,2,True,12,11900.58264132957,not_computed,nan,0,Optimization terminated successfully,1.3594677448272705
D3,Dataset 3,7,D3,NB,identity,-33126.622292081025,66259.24458416205,66282.95504681965,20000,3,True,24,1537.197277326919,not_computed,nan,0,Optimization terminated successfully,7.288989543914795
D3,Dataset 3,7,D3,ZIP,identity,-42646.81161722969,85301.62323445937,85333.23718466952,20000,4,True,12,3.6701653390092126e-05,not_computed,nan,0,Optimization terminated successfully,8.212578296661377
D3,Dataset 3,7,D3,ZINB,identity,-29611.23109627908,59232.46219255816,59271.97963032084,20000,5,True,19,0.0001601601883483017,not_computed,nan,0,Optimization terminated successfully,14.54160189628601
D3,Dataset 3,7,D3,P+NB,identity,-32431.101301038714,64874.20260207743,64921.62352739264,20000,6,True,33,1532.0736475662209,not_computed,nan,0,Optimization terminated successfully,27.300423860549927
D3,Dataset 3,7,D3,Z+P+NB,identity,-29061.033330954117,58138.06666190823,58201.29456232852,20000,8,True,30,0.00020101863120802754,not_computed,nan,0,Optimization terminated successfully,36.40229654312134
