Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D3,Dataset 3,17,gamma_z[0],$\gamma_{10}$,-2.5,-2.5223643219711573
D3,Dataset 3,17,gamma_z[1],$\gamma_{11}$,2.0,2.022669070968659
D3,Dataset 3,17,beta_nb[0],$\beta_{20}$,8.0,7.9245239937759715
D3,Dataset 3,17,beta_nb[1],$\beta_{21}$,2.5,2.659840803994895
D3,Dataset 3,17,gamma_nb[0],$\gamma_{20}$,-2.5,-2.4514333719528936
D3,Dataset 3,17,gamma_nb[1],$\gamma_{21}$,2.5,2.453610694871232
D3,Dataset 3,18,beta_z[0],$\beta_{10}$,6.6,6.763241090006738
D3,Dataset 3,18,beta_z[1],$\beta_{11}$,-2.1,-2.221190199738184
D3,Dataset 3,18,gamma_z[0],$\gamma_{10}$,-2.5,-3.044098629531591
D3,Dataset 3,18,gamma_z[1],$\gamma_{11}$,2.0,2.235282627610777
D3,Dataset 3,18,beta_nb[0],$\beta_{20}$,8.0,7.928566454029955
D3,Dataset 3,18,beta_nb[1],$\beta_{21}$,2.5,2.6184988427961273
D3,Dataset 3,18,gamma_nb[0],$\gamma_{20}$,-2.5,-2.2860249180487546
D3,Dataset 3,18,gamma_nb[1],$\gamma_{21}$,2.5,2.392552377907697
D3,Dataset 3,29,beta_z[0],$\beta_{10}$,6.6,6.66374107536333
D3,Dataset 3,29,beta_z[1],$\beta_{11}$,-2.1,-2.1920981872501777
D3,Dataset 3,29,gamma_z[0],$\gamma_{10}$,-2.5,-2.3930705981587663
D3,Dataset 3,29,gamma_z[1],$\gamma_{11}$,2.0,2.005455212475674
D3,Dataset 3,29,beta_nb[0],$\beta_{20}$,8.0,8.159823309409957
D3,Dataset 3,29,beta_nb[1],$\beta_{21}$,2.5,2.5258114246794157
D3,Dataset 3,29,gamma_nb[0],$\gamma_{20}$,-2.5,-2.5436125843931072
D3,Dataset 3,29,gamma_nb[1],$\gamma_{21}$,2.5,2.4626896663969275
D3,Dataset 3,22,beta_z[0],$\beta_{10}$,6.6,6.447720002280522
D3,Dataset 3,22,beta_z[1],$\beta_{11}$,-2.1,-2.0755792826253434
D3,Dataset 3,22,gamma_z[0],$\gamma_{10}$,-2.5,-2.179194792771464
D3,Dataset 3,22,gamma_z[1],$\gamma_{11}$,2.0,1.91627350049958
D3,Dataset 3,22,beta_nb[0],$\beta_{20}$,8.0,7.998900284393296
D3,Dataset 3,22,beta_nb[1],$\beta_{21}$,2.5,2.410571898869335
D3,Dataset 3,22,gamma_nb[0],$\gamma_{20}$,-2.5,-2.6777655880369835
D3,Dataset 3,22,gamma_nb[1],$\gamma_{21}$,2.5,2.5581555466923436
D3,Dataset 3,21,beta_z[0],$\beta_{10}$,6.6,6.710809144305375
D3,Dataset 3,21,beta_z[1],$\beta_{11}$,-2.1,-2.145156207095969
D3,Dataset 3,21,gamma_z[0],$\gamma_{10}$,-2.5,-2.858041982910749
D3,Dataset 3,21,gamma_z[1],$\gamma_{11}$,2.0,2.055962451555957
D3,Dataset 3,21,beta_nb[0],$\beta_{20}$,8.0,7.986668334268851
D3,Dataset 3,21,beta_nb[1],$\beta_{21}$,2.5,3.1112889250378957
D3,Dataset 3,21,gamma_nb[0],$\gamma_{20}$,-2.5,-2.385850299044877
D3,Dataset 3,21,gamma_nb[1],$\gamma_{21}$,2.5,2.5298134060098594
D3,Dataset 3,20,beta_z[0],$\beta_{10}$,6.6,6.578583720722844
D3,Dataset 3,20,beta_z[1],$\beta_{11}$,-2.1,-2.1251090534883312
D3,Dataset 3,20,gamma_z[0],$\gamma_{10}$,-2.5,-1.9777352299350093
D3,Dataset 3,20,gamma_z[1],$\gamma_{11}$,2.0,1.8198621616319282
