Scenario,Dataset,Rep,Model,Index,Value
D3,Dataset 3,23,ZIP--ZINB,2,-1.9957056977330732
D3,Dataset 3,23,ZIP--ZINB,3,-2.5693748996237047
D3,Dataset 3,23,ZIP--ZINB,4,2.0119735240421655
D3,Dataset 3,23,ZIP--ZINB,5,7.921223103819015
D3,Dataset 3,23,ZIP--ZINB,6,2.564203053834997
D3,Dataset 3,23,ZIP--ZINB,7,-2.501477388269316
D3,Dataset 3,23,ZIP--ZINB,8,2.560164176266223
D3,Dataset 3,23,ZIP--ZINB,9,-0.0015129661076228882
D3,Dataset 3,27,ZIP--ZINB,0,-0.20707179767242742
D3,Dataset 3,27,ZIP--ZINB,1,6.609699415353218
D3,Dataset 3,27,ZIP--ZINB,2,-2.127429083691361
D3,Dataset 3,27,ZIP--ZINB,3,-2.0101542117605398
D3,Dataset 3,27,ZIP--ZINB,4,1.8261991748340354
D3,Dataset 3,27,ZIP--ZINB,5,8.967880511066966
D3,Dataset 3,27,ZIP--ZINB,6,1.691345235213398
D3,Dataset 3,27,ZIP--ZINB,7,-2.7026665347450414
D3,Dataset 3,27,ZIP--ZINB,8,2.49390555460614
D3,Dataset 3,27,ZIP--ZINB,9,-0.0292061985087305
D3,Dataset 3,30,ZIP--ZINB,0,-0.3892630174661584
D3,Dataset 3,30,ZIP--ZINB,1,6.552577117382364
D3,Dataset 3,30,ZIP--ZINB,2,-1.9917228371539137
D3,Dataset 3,30,ZIP--ZINB,3,-2.538946433712727
D3,Dataset 3,30,ZIP--ZINB,4,2.0551207351435643
D3,Dataset 3,30,ZIP--ZINB,5,7.641807628335417
D3,Dataset 3,30,ZIP--ZINB,6,3.051139146665849
D3,Dataset 3,30,ZIP--ZINB,7,-2.5313738253798648
D3,Dataset 3,30,ZIP--ZINB,8,2.5012030530497804
D3,Dataset 3,30,ZIP--ZINB,9,0.020068272554147847
D3,Dataset 3,31,ZIP--ZINB,0,-0.34593315862771234
D3,Dataset 3,31,ZIP--ZINB,1,6.385054157694244
D3,Dataset 3,31,ZIP--ZINB,2,-1.9676338138257734
D3,Dataset 3,31,ZIP--ZINB,3,-2.053947641847222
D3,Dataset 3,31,ZIP--ZINB,4,1.8189302283047473
D3,Dataset 3,31,ZIP--ZINB,5,8.10114462355999
D3,Dataset 3,31,ZIP--ZINB,6,2.68954269686945
D3,Dataset 3,31,ZIP--ZINB,7,-2.7237814338908715
D3,Dataset 3,31,ZIP--ZINB,8,2.582005138903794
D3,Dataset 3,31,ZIP--ZINB,9,-0.06753515737201844
D3,Dataset 3,34,ZIP--ZINB,0,-0.07588767917019078
D3,Dataset 3,34,ZIP--ZINB,1,6.697720930217617
D3,Dataset 3,34,ZIP--ZINB,2,-2.129811302524757
D3,Dataset 3,34,ZIP--ZINB,3,-1.9853712654873503
D3,Dataset 3,34,ZIP--ZINB,4,1.927155429331713
D3,Dataset 3,34,ZIP--ZINB,5,8.564817651958549
D3,Dataset 3,34,ZIP--ZINB,6,1.7994538651004959
D3,Dataset 3,34,ZIP--ZINB,7,-3.1101219384333176
D3,Dataset 3,34,ZIP--ZINB,8,2.6942663810030494
D3,Dataset 3,34,ZIP--ZINB,9,0.05838503067077049
D3,Dataset 3,36,ZIP--ZINB,0,-0.4224540195243227
D3,Dataset 3,36,ZIP--ZINB,1,6.572433713335566
D3,Dataset 3,36,ZIP--ZINB,2,-2.109468425000403
D3,Dataset 3,36,ZIP--ZINB,3,-2.3965516659246178
D3,Dataset 3,36,ZIP--ZINB,4,1.9489384367725509
D3,Dataset 3,36,ZIP--ZINB,5,7.690251190734741
D3,Dataset 3,36,ZIP--ZINB,6,2.3879747635725552
D3,Dataset 3,36,ZIP--ZINB,7,-2.4516916908446884
D3,Dataset 3,36,ZIP--ZINB,8,2.460463116921621
D3,Dataset 3,36,ZIP--ZINB,9,-0.04338625148431716
D3,Dataset 3,33,ZIP--ZINB,0,-0.1508450899763755
D3,Dataset 3,33,ZIP--ZINB,1,6.71588734443558
D3,Dataset 3,33,ZIP--ZINB,2,-2.1390441184450832
D3,Dataset 3,33,ZIP--ZINB,3,-2.0599969256629604
D3,Dataset 3,33,ZIP--ZINB,4,1.9149166839952951
D3,Dataset 3,33,ZIP--ZINB,5,8.136911686983806
D3,Dataset 3,33,ZIP--ZINB,6,1.9912273318687723
D3,Dataset 3,33,ZIP--ZINB,7,-3.0115136644627296
D3,Dataset 3,33,ZIP--ZINB,8,2.657605980418525
D3,Dataset 3,33,ZIP--ZINB,9,0.14261996902768623
D3,Dataset 3,39,ZIP--ZINB,0,-0.32965465636336627
D3,Dataset 3,39,ZIP--ZINB,1,6.404495646814803
D3,Dataset 3,39,ZIP--ZINB,2,-2.0151717744681035
D3,Dataset 3,39,ZIP--ZINB,3,-2.4107934356113825
D3,Dataset 3,39,ZIP--ZINB,4,1.9667248893406022
D3,Dataset 3,39,ZIP--ZINB,5,7.809770262608012
D3,Dataset 3,39,ZIP--ZINB,6,2.775779199343085
D3,Dataset 3,39,ZIP--ZINB,7,-2.591841062134412
D3,Dataset 3,39,ZIP--ZINB,8,2.5622514316787854
D3,Dataset 3,39,ZIP--ZINB,9,-0.03336622843518584
D3,Dataset 3,38,ZIP--ZINB,0,-0.5956441398611833
D3,Dataset 3,38,ZIP--ZINB,1,6.3215494489208375
D3,Dataset 3,38,ZIP--ZINB,2,-1.873014384133398
D3,Dataset 3,38,ZIP--ZINB,3,-3.1541282499237737
D3,Dataset 3,38,ZIP--ZINB,4,2.2382342057263123
D3,Dataset 3,38,ZIP--ZINB,5,8.403390776780054
D3,Dataset 3,38,ZIP--ZINB,6,2.6420975979249084
D3,Dataset 3,38,ZIP--ZINB,7,-2.2084573437412605
D3,Dataset 3,38,ZIP--ZINB,8,2.392151763817442
D3,Dataset 3,38,ZIP--ZINB,9,-0.072588368620106
D3,Dataset 3,32,ZIP--ZINB,0,-0.17370581084739511
D3,Dataset 3,32,ZIP--ZINB,1,6.668411779090257
D3,Dataset 3,32,ZIP--ZINB,2,-2.121108347070796
D3,Dataset 3,32,ZIP--ZINB,3,-2.2231855964873355
D3,Dataset 3,32,ZIP--ZINB,4,2.011916327622801
D3,Dataset 3,32,ZIP--ZINB,5,8.424659419061756
D3,Dataset 3,32,ZIP--ZINB,6,2.329357759813221
D3,Dataset 3,32,ZIP--ZINB,7,-2.7251243308899724
D3,Dataset 3,32,ZIP--ZINB,8,2.517580045769275
D3,Dataset 3,32,ZIP--ZINB,9,0.07770058298634551
D3,Dataset 3,40,ZIP--ZINB,0,-0.36097738890094466
D3,Dataset 3,40,ZIP--ZINB,1,6.644950495715917
D3,Dataset 3,40,ZIP--ZINB,2,-2.185410266229285
D3,Dataset 3,40,ZIP--ZINB,3,-2.425808770434912
D3,Dataset 3,40,ZIP--ZINB,4,1.9659420297853816
D3,Dataset 3,40,ZIP--ZINB,5,7.864474981240315
D3,Dataset 3,40,ZIP--ZINB,6,3.0360967546054267
D3,Dataset 3,40,ZIP--ZINB,7,-2.3623686717480514
D3,Dataset 3,40,ZIP--ZINB,8,2.3923285941009143
D3,Dataset 3,40,ZIP--ZINB,9,-0.07736109610871612
D3,Dataset 3,41,ZIP--ZINB,0,-0.2434644700702752
D3,Dataset 3,41,ZIP--ZINB,1,6.522121762279044
D3,Dataset 3,41,ZIP--ZINB,2,-2.000386723710544
D3,Dataset 3,41,ZIP--ZINB,3,-2.2162079831113703
D3,Dataset 3,41,ZIP--ZINB,4,1.905390705162112
D3,Dataset 3,41,ZIP--ZINB,5,8.462486236801544
D3,Dataset 3,41,ZIP--ZINB,6,2.1363744582979414
D3,Dataset 3,41,ZIP--ZINB,7,-2.7735239358716175
D3,Dataset 3,41,ZIP--ZINB,8,2.5654582627252314
D3,Dataset 3,41,ZIP--ZINB,9,0.03248309522374314
D3,Dataset 3,35,ZIP--ZINB,0,-0.37377479154334686
D3,Dataset 3,35,ZIP--ZINB,1,6.539870017849131
D3,Dataset 3,35,ZIP--ZINB,2,-2.0719198967978154
D3,Dataset 3,35,ZIP--ZINB,3,-2.4052284560558617
D3,Dataset 3,35,ZIP--ZINB,4,1.9713384650721297
D3,Dataset 3,35,ZIP--ZINB,5,8.017217730806934
D3,Dataset 3,35,ZIP--ZINB,6,2.6849901832538867
D3,Dataset 3,35,ZIP--ZINB,7,-2.4390316836889188
D3,Dataset 3,35,ZIP--ZINB,8,2.468971152436096
D3,Dataset 3,35,ZIP--ZINB,9,-0.048061338034502965
D3,Dataset 3,37,ZIP--ZINB,0,-0.39414027017187697
D3,Dataset 3,37,ZIP--ZINB,1,6.614731276676226
D3,Dataset 3,37,ZIP--ZINB,2,-2.1211925584744713
D3,Dataset 3,37,ZIP--ZINB,3,-2.4985404656749717
D3,Dataset 3,37,ZIP--ZINB,4,2.0031433989672194
D3,Dataset 3,37,ZIP--ZINB,5,8.106561014046344
D3,Dataset 3,37,ZIP--ZINB,6,2.175764790422885
D3,Dataset 3,37,ZIP--ZINB,7,-2.5657914872750593
D3,Dataset 3,37,ZIP--ZINB,8,2.519483928902978
D3,Dataset 3,37,ZIP--ZINB,9,0.036885852096631665
D3,Dataset 3,44,ZIP--ZINB,0,-0.38294598322129636
