Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D3,Dataset 3,64,gamma_nb[1],optimizer,2.5,2.561522829474451,0.1550840378052892,2.257558115376084,2.8654875435728178,True,inverse
D3,Dataset 3,64,log_alpha,optimizer,0.0,0.10330582219210997,0.052902704884883966,-0.0003834793822626026,0.20699512376648255,True,inverse
D3,Dataset 3,64,rho,natural_delta,0.4,0.4470511186745328,0.037890842298348465,0.37278506776976983,0.5213171695792957,True,inverse
D3,Dataset 3,64,alpha,natural_delta,1.0,1.1088304621910068,0.05866013070866032,0.9938566060020325,1.223804318379981,True,inverse
D3,Dataset 3,65,logit_rho,optimizer,-0.4054651081081643,-0.400671971929491,0.1157117926019104,-0.6274670854292353,-0.17387685842974662,True,inverse
D3,Dataset 3,65,beta_z[0],optimizer,6.6,6.3842241079889295,0.11236781492703354,6.163983190731944,6.604465025245915,True,inverse
D3,Dataset 3,65,beta_z[1],optimizer,-2.1,-1.9825863275044973,0.07450469435605442,-2.128615528442364,-1.8365571265666305,True,inverse
D3,Dataset 3,65,gamma_z[0],optimizer,-2.5,-2.5795351783261404,0.35073114343878303,-3.266968219466155,-1.8921021371861257,True,inverse
D3,Dataset 3,65,gamma_z[1],optimizer,2.0,2.036289060643836,0.14388477150410717,1.7542749084957863,2.318303212791886,True,inverse
D3,Dataset 3,65,beta_nb[0],optimizer,8.0,8.459592918296105,0.31664373724113376,7.8389711933034825,9.080214643288727,True,inverse
D3,Dataset 3,65,beta_nb[1],optimizer,2.5,2.4152052044443586,0.4233645168650282,1.5854107513889035,3.2449996574998137,True,inverse
D3,Dataset 3,65,gamma_nb[0],optimizer,-2.5,-2.451703198617781,0.19427284584959434,-2.832477976482986,-2.070928420752576,True,inverse
D3,Dataset 3,65,gamma_nb[1],optimizer,2.5,2.5467155040685627,0.09119211189209556,2.3679789647600553,2.72545204337707,True,inverse
D3,Dataset 3,65,log_alpha,optimizer,0.0,-0.08440066980191348,0.050414897315212426,-0.18321386853972982,0.014412528935902877,True,inverse
D3,Dataset 3,65,rho,natural_delta,0.4,0.40115090212252574,0.02779731154497168,0.3466681714943812,0.45563363275067026,True,inverse
D3,Dataset 3,65,alpha,natural_delta,1.0,0.9190629415470578,0.046334463824312,0.8282473924514063,1.0098784906427094,True,inverse
