Scenario,Dataset,Rep,Parameter,true,estimate
D3,Dataset 3,16,varphi,11.753558323571772,11.130760975450553
D3,Dataset 3,16,alpha,1.0,1.0772167690873906
D3,Dataset 3,16,omega,0.6574208455531502,0.635586592605469
D3,Dataset 3,17,rho,0.4,0.3900392155078983
D3,Dataset 3,17,lambda,3.4452087851255087,3.5074012100717207
D3,Dataset 3,17,pi,0.5762729705445709,0.5774206758237355
D3,Dataset 3,17,varphi,11.755703827231537,11.920353708732065
D3,Dataset 3,17,alpha,1.0,0.9649939584636588
D3,Dataset 3,17,omega,0.658261719891269,0.6579347155732623
D3,Dataset 3,18,rho,0.4,0.35206388649202913
D3,Dataset 3,18,lambda,3.419439834235267,3.3991320091142248
D3,Dataset 3,18,pi,0.579847378905851,0.5479252069087275
D3,Dataset 3,18,varphi,11.78638114971992,11.894420317600627
D3,Dataset 3,18,alpha,1.0,0.9738360264231615
D3,Dataset 3,18,omega,0.6616449889613163,0.6735166449935573
D3,Dataset 3,29,rho,0.4,0.4169500452697886
D3,Dataset 3,29,lambda,3.451700958455997,3.377369350653768
D3,Dataset 3,29,pi,0.5747631003787266,0.5916808999406292
D3,Dataset 3,29,varphi,11.747975049457144,11.946494589142858
D3,Dataset 3,29,alpha,1.0,1.0008706796746956
D3,Dataset 3,29,omega,0.6564934755238991,0.646006627914686
D3,Dataset 3,22,rho,0.4,0.42378125807956585
D3,Dataset 3,22,lambda,3.4419470936727854,3.326391818562655
D3,Dataset 3,22,pi,0.5773810152480187,0.6094081044078498
D3,Dataset 3,22,varphi,11.759586793246685,11.62400199445759
D3,Dataset 3,22,alpha,1.0,0.9350049778825226
D3,Dataset 3,22,omega,0.6600923955324737,0.6463780836486384
D3,Dataset 3,21,rho,0.4,0.3562988332681011
D3,Dataset 3,21,lambda,3.4358339534981313,3.47860417528833
D3,Dataset 3,21,pi,0.5770462997552871,0.5354796057727799
D3,Dataset 3,21,varphi,11.766864341073653,12.6745896568699
D3,Dataset 3,21,alpha,1.0,0.9096153209304695
D3,Dataset 3,21,omega,0.6586362628420674,0.6762658604920758
D3,Dataset 3,20,rho,0.4,0.44488039316277905
D3,Dataset 3,20,lambda,3.481704414737823,3.4230036351545845
D3,Dataset 3,20,pi,0.569317679422056,0.6141199458729448
D3,Dataset 3,20,varphi,11.71225664912164,12.09508589482037
D3,Dataset 3,20,alpha,1.0,0.9273296893424304
D3,Dataset 3,20,omega,0.6506123356608868,0.6298152778786685
D3,Dataset 3,19,rho,0.4,0.3978024438747038
D3,Dataset 3,19,lambda,3.471871021722967,3.484745622500262
D3,Dataset 3,19,pi,0.5715662953829007,0.5764547897310088
D3,Dataset 3,19,varphi,11.723963069377419,10.478508547098793
D3,Dataset 3,19,alpha,1.0,1.133467868811993
D3,Dataset 3,19,omega,0.6533063458092614,0.6376058869441651
D3,Dataset 3,26,rho,0.4,0.4101002036677028
D3,Dataset 3,26,lambda,3.4387067460439265,3.3865461136516695
D3,Dataset 3,26,pi,0.5773696634445822,0.5815785111324326
D3,Dataset 3,26,varphi,11.763444349947706,12.650437296531015
D3,Dataset 3,26,alpha,1.0,0.8863978952375234
D3,Dataset 3,26,omega,0.6591694918369132,0.6654229038219968
D3,Dataset 3,24,rho,0.4,0.4366186774246937
D3,Dataset 3,24,lambda,3.438819420674147,3.429369097453086
D3,Dataset 3,24,pi,0.5772334700604367,0.617851202405304
D3,Dataset 3,24,varphi,11.763310213483159,11.054256812007031
D3,Dataset 3,24,alpha,1.0,1.0512834769227624
D3,Dataset 3,24,omega,0.6590991551143733,0.6297411013011072
D3,Dataset 3,28,rho,0.4,0.3790804051516489
D3,Dataset 3,28,lambda,3.4181248421825186,3.3758861383475787
D3,Dataset 3,28,pi,0.5802767217510225,0.5563903699367851
D3,Dataset 3,28,varphi,11.787946616449382,11.615138577391825
D3,Dataset 3,28,alpha,1.0,0.8606596786975933
D3,Dataset 3,28,omega,0.6622184869931877,0.6801346132746933
D3,Dataset 3,23,rho,0.4,0.3759277441432966
D3,Dataset 3,23,lambda,3.4294297468210346,3.4888304868678155
D3,Dataset 3,23,pi,0.5786173895657581,0.57067484310535
D3,Dataset 3,23,varphi,11.774488396641626,11.792644973152303
D3,Dataset 3,23,alpha,1.0,0.9984881778486034
D3,Dataset 3,23,omega,0.6607481835117276,0.6684986335609922
D3,Dataset 3,27,rho,0.4,0.448416239501359
D3,Dataset 3,27,lambda,3.4625844088881523,3.431304569563662
D3,Dataset 3,27,pi,0.5735633671669665,0.6143441991506026
D3,Dataset 3,27,varphi,11.735018560847436,11.494762849596134
D3,Dataset 3,27,alpha,1.0,0.9712161804901138
D3,Dataset 3,27,omega,0.6557444614616804,0.629798945805133
D3,Dataset 3,30,rho,0.4,0.40389472682649924
