Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,16,gamma_z[1],$\gamma_{11}$,1.0,1.0047928444480314
D1,Dataset 1,16,beta_nb[0],$\beta_{20}$,4.0,3.6493638027405946
D1,Dataset 1,16,beta_nb[1],$\beta_{21}$,3.5,3.2889125682871403
D1,Dataset 1,16,gamma_nb[0],$\gamma_{20}$,1.0,0.6952290656461707
D1,Dataset 1,16,gamma_nb[1],$\gamma_{21}$,-3.0,-2.979695983237078
D1,Dataset 1,20,beta_z[0],$\beta_{10}$,2.0,2.0474586025098502
D1,Dataset 1,20,beta_z[1],$\beta_{11}$,1.0,0.9488282241032536
D1,Dataset 1,20,gamma_z[0],$\gamma_{10}$,-2.0,-2.0840869805591216
D1,Dataset 1,20,gamma_z[1],$\gamma_{11}$,1.0,1.0297422415865092
D1,Dataset 1,20,beta_nb[0],$\beta_{20}$,4.0,4.503732500395848
D1,Dataset 1,20,beta_nb[1],$\beta_{21}$,3.5,3.3486138761621373
D1,Dataset 1,20,gamma_nb[0],$\gamma_{20}$,1.0,1.2560445009854295
D1,Dataset 1,20,gamma_nb[1],$\gamma_{21}$,-3.0,-2.7976615173561323
D1,Dataset 1,21,beta_z[0],$\beta_{10}$,2.0,1.983314237357012
D1,Dataset 1,21,beta_z[1],$\beta_{11}$,1.0,1.0438225401666268
D1,Dataset 1,21,gamma_z[0],$\gamma_{10}$,-2.0,-2.0150241533754945
D1,Dataset 1,21,gamma_z[1],$\gamma_{11}$,1.0,0.9916751885835572
D1,Dataset 1,21,beta_nb[0],$\beta_{20}$,4.0,3.7329106350487833
D1,Dataset 1,21,beta_nb[1],$\beta_{21}$,3.5,3.62750525537231
D1,Dataset 1,21,gamma_nb[0],$\gamma_{20}$,1.0,0.9686264677523572
D1,Dataset 1,21,gamma_nb[1],$\gamma_{21}$,-3.0,-2.5919775989104665
D1,Dataset 1,22,beta_z[0],$\beta_{10}$,2.0,1.8727195521899864
D1,Dataset 1,22,beta_z[1],$\beta_{11}$,1.0,1.0954576158906992
D1,Dataset 1,22,gamma_z[0],$\gamma_{10}$,-2.0,-1.8895571318355016
D1,Dataset 1,22,gamma_z[1],$\gamma_{11}$,1.0,0.949197862221069
D1,Dataset 1,22,beta_nb[0],$\beta_{20}$,4.0,3.428150874704848
D1,Dataset 1,22,beta_nb[1],$\beta_{21}$,3.5,3.4753569443665664
D1,Dataset 1,22,gamma_nb[0],$\gamma_{20}$,1.0,1.1615539082014266
D1,Dataset 1,22,gamma_nb[1],$\gamma_{21}$,-3.0,-4.179437044519688
D1,Dataset 1,23,beta_z[0],$\beta_{10}$,2.0,2.04434234422347
D1,Dataset 1,23,beta_z[1],$\beta_{11}$,1.0,0.9500908722305073
D1,Dataset 1,23,gamma_z[0],$\gamma_{10}$,-2.0,-2.159188573949077
D1,Dataset 1,23,gamma_z[1],$\gamma_{11}$,1.0,1.0781637282578354
D1,Dataset 1,23,beta_nb[0],$\beta_{20}$,4.0,4.334320995447636
D1,Dataset 1,23,beta_nb[1],$\beta_{21}$,3.5,3.20700814413458
D1,Dataset 1,23,gamma_nb[0],$\gamma_{20}$,1.0,1.21388338378909
