Dataset,Link,Count,Observed,Expected,RootogramDiff
H2AX1H60,identity,2,44.0,50.25223831166856,-0.45563173524227274
H2AX1H60,identity,3,48.0,55.17117340127511,-0.4995267999070041
H2AX1H60,identity,4,58.0,53.288994728137126,0.31584196042581425
H2AX1H60,identity,5,55.0,46.030801509863835,0.6315981665267474
H2AX1H60,identity,6,42.0,36.00373448287159,0.48042949957228753
H2AX1H60,identity,7,27.0,25.832435249831374,0.1135905441033449
H2AX1H60,identity,8,25.0,17.168541425267478,0.8565061330722985
H2AX1H60,identity,9,9.0,10.625929738707988,-0.2597438148891378
H2AX1H60,identity,10,3.0,6.137795708051597,-0.7454067012598005
H2AX1H60,identity,11,1.0,3.311541079295734,-0.8197640174747203
H2AX1H60,identity,12,3.0,1.6700870890292132,0.4397323139191063
H2AX1H60,identity,13,1.0,0.7882339300723478,0.11217460608949248
H2AX1H60,identity,14,0.0,0.3487602891910733,-0.5905593020104529
H2AX1H60,identity,15,0.0,0.14497214473783743,-0.3807520777853188
H2AX1H60,identity,>15,0.0,0.08858215782540368,-0.29762754883478726
H2AX1H60,log,0,243.0,252.19851460412323,-0.2923019896776733
H2AX1H60,log,1,40.0,35.79342791830073,0.34179442604215815
H2AX1H60,log,2,44.0,51.498887565178876,-0.5430229590676943
H2AX1H60,log,3,48.0,57.042883869377036,-0.624470724647809
H2AX1H60,log,4,58.0,54.095689806697834,0.26079589266346037
H2AX1H60,log,5,55.0,45.928572087353245,0.63913628527449
H2AX1H60,log,6,42.0,35.68344133445981,0.507178835125635
H2AX1H60,log,7,27.0,25.680160414490768,0.12859281136600487
H2AX1H60,log,8,25.0,17.226773768088677,0.8494851201220017
H2AX1H60,log,9,9.0,10.797227768157857,-0.28591353631799876
H2AX1H60,log,10,3.0,6.325333815956064,-0.7829708257289489
H2AX1H60,log,11,1.0,3.463296458831598,-0.8609934064449551
H2AX1H60,log,12,3.0,1.7729250517200077,0.4005384900441733
H2AX1H60,log,13,1.0,0.8494694473278265,0.07833333176911161
H2AX1H60,log,14,0.0,0.38158994911076016,-0.6177296731667988
H2AX1H60,log,15,0.0,0.16105149483038514,-0.40131221614895446
H2AX1H60,log,>15,0.0,0.10075464599531103,-0.31741872344792615
C3,identity,0,3465.0,3465.6336487641806,-0.00538204250646146
C3,identity,1,544.0,541.8057995129526,0.04708531199672095
C3,identity,2,197.0,204.26237757207122,-0.2563701102097298
C3,identity,3,104.0,96.89112558399125,0.35471003827174385
C3,identity,4,53.0,49.21368253122095,0.2648634551756581
C3,identity,5,17.0,24.128592166204708,-0.7889807097600787
C3,identity,6,11.0,10.95414893167364,0.006919526789829877
C3,identity,7,7.0,4.541495310045461,0.5146728727978385
C3,identity,8,2.0,1.715505028642892,0.10444067036360938
C3,identity,9,0.0,0.5919085670438824,-0.7693559430093995
C3,identity,10,0.0,0.18737415153863665,-0.4328673602139998
C3,identity,11,0.0,0.05469439867260807,-0.23386833619070382
C3,identity,12,0.0,0.014796271230093843,-0.12163992449066155
C3,identity,13,0.0,0.00372769016160476,-0.061054812763653286
C3,identity,14,0.0,0.000878551256217282,-0.029640365318553043
C3,identity,15,0.0,0.00019451008403706106,-0.013946687206539805
C3,identity,>15,0.0,5.0459029687921486e-05,-0.007103451955769215
C3,log,0,3465.0,3465.104118634241,-0.0008843895149936998
C3,log,1,544.0,542.4641552844835,0.032947670728550094
C3,log,2,197.0,202.91162510194044,-0.2090363126138115
C3,log,3,104.0,97.58262234524148,0.3196473389985961
C3,log,4,53.0,50.211310778621254,0.19411590264595002
C3,log,5,17.0,24.362136359373032,-0.8126958654649208
C3,log,6,11.0,10.747126409527255,0.038343775932253354
C3,log,7,7.0,4.297316095603543,0.5727544235600428
C3,log,8,2.0,1.5669424839868884,0.16243783006842683
C3,log,9,0.0,0.5251827906641598,-0.724694963873877
C3,log,10,0.0,0.16306032626652334,-0.4038072885257562
C3,log,11,0.0,0.04722980755157916,-0.21732419918540863
C3,log,12,0.0,0.012840579120755057,-0.11331627915156346
C3,log,13,0.0,0.0032943374176822257,-0.05739631885131855
C3,log,14,0.0,0.0008012568109769797,-0.028306480017426746
C3,log,15,0.0,0.00018549886277945894,-0.0136197967231328
C3,log,>15,0.0,5.1910290044254737e-05,-0.007204879599566861
C2,log,0,4878.0,4877.962763505109,0.0002665745770400463
C2,log,1,398.0,407.1595404954094,-0.22825733553644767
C2,log,2,163.0,153.57388564862183,0.3746522180567027
C2,log,3,79.0,76.94790405231991,0.11619897429808113
C2,log,4,42.0,42.39922151084807,-0.030727761997063396
C2,log,5,23.0,22.733522747109202,0.02786311453427981
C2,log,6,9.0,11.197032106056874,-0.3461966627884969
C2,log,7,6.0,4.973799567554615,0.21928805514265992
C2,log,8,1.0,1.9914156927400464,-0.4111752877442427
C2,log,9,1.0,0.7223756257285845,0.15007316448497487
C2,log,10,0.0,0.2389015029481532,-0.48877551385902424
C2,log,11,0.0,0.07246978164350729,-0.2692021204290696
C2,log,12,0.0,0.020276216394015566,-0.14239457993201696
C2,log,13,0.0,0.005258980205189551,-0.07251882655689866
C2,log,14,0.0,0.0012702739652608582,-0.03564090298043609
C2,log,15,0.0,0.0002869418837509843,-0.016939359012400214
