Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
H2AX1H60,log,,NB,0.0701744556427002,True,8,-1266.4157692032477,2538.8315384064954,2552.017323200842,0.00012040552181868946,not_computed
H2AX1H60,log,,ZIP,0.08860969543457031,True,12,-1187.9872353466562,2383.9744706933125,2401.555517085774,3.0683145202381468e-06,not_computed
H2AX1H60,log,,ZINB,0.19902896881103516,True,22,-1180.0527611021655,2370.105522204331,2392.0818301949084,0.00015228415801515904,not_computed
H2AX1H60,log,,P+NB,0.3166065216064453,True,35,-1164.1319809356314,2340.263961871263,2366.6355314599555,8.215804532407667e-05,not_computed
H2AX1H60,log,,Z+P+NB,0.6996293067932129,True,56,-1162.586738032732,2341.173476065464,2376.3355688503875,0.0010251742590744461,not_computed
H2AX1H60,log,,ZIP--ZINB,1.3972671031951904,True,64,-1151.733012276312,2323.466024552624,2367.418640533778,0.012914537017827854,not_computed
C3,identity,,Poisson,0.21718430519104004,True,41,-3466.6358733921306,6939.271746784261,6958.43982624398,0.0006905443131017819,not_computed
C3,identity,,NB,0.6661062240600586,True,11,-3152.4296064626524,6312.859212925305,6338.41665220493,0.0026096939348576598,not_computed
C3,identity,,ZIP,0.46499013900756836,True,13,-3081.2093677930843,6172.418735586169,6204.3655346857,0.0002166195219857059,not_computed
C3,identity,,ZINB,1.4289934635162354,True,44,-3080.680334985683,6173.360669971366,6211.696828890805,0.00022232185170167895,not_computed
C3,identity,,P+NB,1.2474417686462402,True,51,-3079.955805887862,6175.911611775724,6227.026490334974,0.002340691835911457,not_computed
C3,identity,,Z+P+NB,2.495391607284546,True,102,-3079.3201117559065,6178.640223511813,6242.5338217108765,0.006281581720372742,not_computed
C3,identity,,ZIP--ZINB,4.160057544708252,True,96,-3078.3765748829537,6180.753149765907,6257.425467604784,155.5625788826749,not_computed
C3,log,,Poisson,0.09670138359069824,True,11,-3468.1482462159074,6942.296492431815,6961.4645718915335,0.0015760586370561214,not_computed
C3,log,,NB,0.24111008644104004,True,22,-3153.542242110528,6315.084484221056,6340.6419235006815,9.517477934650742e-06,not_computed
C3,log,,ZIP,0.26254868507385254,True,19,-3081.331619577844,6172.663239155688,6204.6100382552195,0.0025703574480360203,not_computed
C3,log,,ZINB,0.938610315322876,True,42,-3080.9386209823188,6173.8772419646375,6212.213400884076,0.000950609849923012,not_computed
C3,log,,P+NB,1.5806009769439697,True,51,-3077.951773504372,6171.903547008744,6223.018425567994,8.378937050679269e-05,not_computed
C3,log,,Z+P+NB,3.1084067821502686,True,52,-3077.461150841234,6174.922301682468,6238.815899881532,0.14706416547673484,not_computed
C3,log,,ZIP--ZINB,6.091099500656128,True,149,-3077.0641378277232,6178.1282756554465,6254.800593494323,0.004058946692183221,not_computed
C2,log,,Poisson,0.09547567367553711,True,9,-3528.6965528061196,7063.393105612239,7083.284671242409,0.004255604106788269,not_computed
C2,log,,NB,0.3337666988372803,True,23,-2940.5233778138704,5889.046755627741,5915.568843134633,6.436432127543412e-05,not_computed
C2,log,,ZIP,0.3646965026855469,True,15,-2843.691105358018,5697.382210716036,5730.534820099652,0.001284629016083727,not_computed
C2,log,,ZINB,1.2697944641113281,True,45,-2843.6902587348573,5699.3805174697145,5739.163648730054,0.00034767626465281865,not_computed
C2,log,,P+NB,1.9844071865081787,True,76,-2846.219147403625,5708.43829480725,5761.482469821036,1.3084741893253522,not_computed
C2,log,,Z+P+NB,3.9761407375335693,True,93,-2839.722590987377,5699.445181974754,5765.750400741987,0.004678645444442964,not_computed
C2,log,,ZIP--ZINB,4.725679874420166,True,130,-2838.5570499000623,5701.114099800125,5780.680362320803,0.010060986388907622,not_computed
C2,identity,,Poisson,0.24694585800170898,True,10,-3526.9040007850317,7059.808001570063,7079.699567200233,0.0023863488668212085,not_computed
C2,identity,,NB,0.8437607288360596,True,26,-2939.450897496767,5886.901794993534,5913.423882500427,0.022387142376828706,not_computed
C2,identity,,ZIP,0.8590683937072754,True,88,-2843.3676581344653,5696.735316268931,5729.887925652547,0.00048572910373678724,not_computed
C2,identity,,ZINB,2.611687421798706,True,42,-2843.3676564926755,5698.735312985351,5738.51844424569,0.01370081988595473,not_computed
C2,identity,,P+NB,1.7566955089569092,True,51,-2918.0499935034018,5852.0999870068035,5905.14416202059,1249.7128492109907,not_computed
C2,identity,,Z+P+NB,2.7728257179260254,True,100,-2843.367020496922,5706.734040993844,5773.039259761077,0.692990379000662,not_computed
C2,identity,,ZIP--ZINB,4.643154859542847,True,2,-2843.3676554789035,5710.735310957807,5790.301573478486,0.0025907040195534137,not_computed
