Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,11,ZIP,ZIP--ZINB,-70153.56378011055,-44571.93321148958,51163.261137241934,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,11,ZINB,ZIP--ZINB,-45850.396373951044,-44571.93321148958,2556.926324922926,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,11,Z+P+NB,ZIP--ZINB,-44633.20257690667,-44571.93321148958,122.5387308341742,2,0,2.4606661199371898e-27,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,12,Poisson,ZIP--ZINB,-99720.11058706316,-44710.41542004293,110019.39033404045,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,NB,ZIP--ZINB,-46767.43376722405,-44710.41542004293,4114.036694362236,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,P+NB,ZIP--ZINB,-45360.02769272868,-44710.41542004293,1299.2245453715004,nan,2,1.96659100496738e-283,True,chi-bar² heuristic; k=2
D1,Dataset 1,12,ZIP,ZIP--ZINB,-71594.76534888809,-44710.41542004293,53768.69985769031,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,12,ZINB,ZIP--ZINB,-46003.34375032972,-44710.41542004293,2585.8566605735687,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,12,Z+P+NB,ZIP--ZINB,-44791.077178228006,-44710.41542004293,161.32351637014654,2,0,9.312011842294813e-36,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,1,Poisson,ZIP--ZINB,-99703.59722841918,-44775.71537250234,109855.76371183369,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,1,NB,ZIP--ZINB,-46682.02006983638,-44775.71537250234,3812.6093946680776,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,1,P+NB,ZIP--ZINB,-45386.44655193176,-44775.71537250234,1221.4623588588438,nan,2,1.514026951561153e-266,True,chi-bar² heuristic; k=2
D1,Dataset 1,1,ZIP,ZIP--ZINB,-72042.57018444872,-44775.71537250234,54533.70962389276,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,1,ZINB,ZIP--ZINB,-45966.77548658132,-44775.71537250234,2382.120228157961,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,1,Z+P+NB,ZIP--ZINB,-44847.97083937653,-44775.71537250234,144.5109337483882,2,0,4.167248982250602e-32,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,13,Poisson,ZIP--ZINB,-100779.04027354409,-44635.97305944033,112286.13442820752,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,NB,ZIP--ZINB,-46582.689927104875,-44635.97305944033,3893.4337353290903,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,P+NB,ZIP--ZINB,-45208.7941782585,-44635.97305944033,1145.6422376363334,nan,2,4.4144767546502946e-250,True,chi-bar² heuristic; k=2
D1,Dataset 1,13,ZIP,ZIP--ZINB,-72690.83504661807,-44635.97305944033,56109.72397435548,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,13,ZINB,ZIP--ZINB,-45880.06356428565,-44635.97305944033,2488.181009690641,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,13,Z+P+NB,ZIP--ZINB,-44694.83510139299,-44635.97305944033,117.72408390532655,2,0,2.732373007590807e-26,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,5,Poisson,ZIP--ZINB,-100174.49335661138,-44289.75527645254,111769.47616031767,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,5,NB,ZIP--ZINB,-46317.829121579314,-44289.75527645254,4056.1476902535505,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,5,P+NB,ZIP--ZINB,-44929.794427430395,-44289.75527645254,1280.078301955713,nan,2,2.8275144227828542e-279,True,chi-bar² heuristic; k=2
D1,Dataset 1,5,ZIP,ZIP--ZINB,-71710.74867484166,-44289.75527645254,54841.986796778234,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,5,ZINB,ZIP--ZINB,-45549.697160199226,-44289.75527645254,2519.8837674933748,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,5,Z+P+NB,ZIP--ZINB,-44350.74864599273,-44289.75527645254,121.98673908038472,2,0,3.242770219933063e-27,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,16,Poisson,ZIP--ZINB,-98389.45035422826,-45010.70986909396,106757.4809702686,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,NB,ZIP--ZINB,-46969.28499022001,-45010.70986909396,3917.1502422521007,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,P+NB,ZIP--ZINB,-45589.93233481276,-45010.70986909396,1158.444931437596,nan,2,7.323210423028538e-253,True,chi-bar² heuristic; k=2
D1,Dataset 1,16,ZIP,ZIP--ZINB,-71908.57925699085,-45010.70986909396,53795.73877579378,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,16,ZINB,ZIP--ZINB,-46277.95628337546,-45010.70986909396,2534.4928285630012,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,16,Z+P+NB,ZIP--ZINB,-45075.47723203966,-45010.70986909396,129.5347258913971,2,0,7.44546223712024e-29,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,19,Poisson,ZIP--ZINB,-98436.0094584139,-44338.89328110626,108194.23235461528,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,NB,ZIP--ZINB,-46340.51045396709,-44338.89328110626,4003.2343457216484,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,P+NB,ZIP--ZINB,-44962.71728233735,-44338.89328110626,1247.6480024621706,nan,2,3.1174085025577945e-272,True,chi-bar² heuristic; k=2
D1,Dataset 1,19,ZIP,ZIP--ZINB,-70557.42005119038,-44338.89328110626,52437.05354016823,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,19,ZINB,ZIP--ZINB,-45561.630638011,-44338.89328110626,2445.4747138094826,nan,1,0.0,True,chi-bar² heuristic; k=1
