Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,5,beta_nb[0],$\beta_{20}$,4.0,4.24426383480593
D1,Dataset 1,5,beta_nb[1],$\beta_{21}$,3.5,3.4132496245339445
D1,Dataset 1,5,gamma_nb[0],$\gamma_{20}$,1.0,1.0706084125042608
D1,Dataset 1,5,gamma_nb[1],$\gamma_{21}$,-3.0,-3.131775068174422
D1,Dataset 1,16,beta_z[0],$\beta_{10}$,2.0,1.9741172246730576
D1,Dataset 1,16,beta_z[1],$\beta_{11}$,1.0,1.0587951138402147
D1,Dataset 1,16,gamma_z[0],$\gamma_{10}$,-2.0,-2.081250587999599
D1,Dataset 1,16,gamma_z[1],$\gamma_{11}$,1.0,1.0047928311411256
D1,Dataset 1,16,beta_nb[0],$\beta_{20}$,4.0,3.649363782571673
D1,Dataset 1,16,beta_nb[1],$\beta_{21}$,3.5,3.288912567133692
D1,Dataset 1,16,gamma_nb[0],$\gamma_{20}$,1.0,0.6952291001110685
D1,Dataset 1,16,gamma_nb[1],$\gamma_{21}$,-3.0,-2.9796961498533965
D1,Dataset 1,19,beta_z[0],$\beta_{10}$,2.0,2.0523793468739013
D1,Dataset 1,19,beta_z[1],$\beta_{11}$,1.0,0.9677030031128511
D1,Dataset 1,19,gamma_z[0],$\gamma_{10}$,-2.0,-1.8070455497495936
D1,Dataset 1,19,gamma_z[1],$\gamma_{11}$,1.0,0.9249258171343749
D1,Dataset 1,19,beta_nb[0],$\beta_{20}$,4.0,3.916878227172623
D1,Dataset 1,19,beta_nb[1],$\beta_{21}$,3.5,3.797243842920885
D1,Dataset 1,19,gamma_nb[0],$\gamma_{20}$,1.0,1.079181697421216
D1,Dataset 1,19,gamma_nb[1],$\gamma_{21}$,-3.0,-3.306721841996545
D1,Dataset 1,18,beta_z[0],$\beta_{10}$,2.0,2.102278814759545
D1,Dataset 1,18,beta_z[1],$\beta_{11}$,1.0,0.9594793875191866
D1,Dataset 1,18,gamma_z[0],$\gamma_{10}$,-2.0,-2.2050673025818783
D1,Dataset 1,18,gamma_z[1],$\gamma_{11}$,1.0,1.0903619642809244
D1,Dataset 1,18,beta_nb[0],$\beta_{20}$,4.0,3.8908349117129872
D1,Dataset 1,18,beta_nb[1],$\beta_{21}$,3.5,3.5489150292793745
D1,Dataset 1,18,gamma_nb[0],$\gamma_{20}$,1.0,1.235602692459508
D1,Dataset 1,18,gamma_nb[1],$\gamma_{21}$,-3.0,-2.9400899187999188
D1,Dataset 1,17,beta_z[0],$\beta_{10}$,2.0,2.0941000104379826
D1,Dataset 1,17,beta_z[1],$\beta_{11}$,1.0,0.9395248540783763
D1,Dataset 1,17,gamma_z[0],$\gamma_{10}$,-2.0,-1.888335418635514
D1,Dataset 1,17,gamma_z[1],$\gamma_{11}$,1.0,0.9291453106793619
D1,Dataset 1,17,beta_nb[0],$\beta_{20}$,4.0,4.383720835095984
D1,Dataset 1,17,beta_nb[1],$\beta_{21}$,3.5,3.405088469847826
D1,Dataset 1,17,gamma_nb[0],$\gamma_{20}$,1.0,0.9378254162536939
D1,Dataset 1,17,gamma_nb[1],$\gamma_{21}$,-3.0,-2.803625751649985
D1,Dataset 1,21,beta_z[0],$\beta_{10}$,2.0,1.9833142373570118
D1,Dataset 1,21,beta_z[1],$\beta_{11}$,1.0,1.0438225401666292
D1,Dataset 1,21,gamma_z[0],$\gamma_{10}$,-2.0,-2.015024153375505
D1,Dataset 1,21,gamma_z[1],$\gamma_{11}$,1.0,0.991675188583562
D1,Dataset 1,21,beta_nb[0],$\beta_{20}$,4.0,3.732910635048758
D1,Dataset 1,21,beta_nb[1],$\beta_{21}$,3.5,3.627505255372296
D1,Dataset 1,21,gamma_nb[0],$\gamma_{20}$,1.0,0.9686264677523455
D1,Dataset 1,21,gamma_nb[1],$\gamma_{21}$,-3.0,-2.5919775989104434
D1,Dataset 1,15,beta_z[0],$\beta_{10}$,2.0,1.9850863433148582
D1,Dataset 1,15,beta_z[1],$\beta_{11}$,1.0,1.0185268005987498
D1,Dataset 1,15,gamma_z[0],$\gamma_{10}$,-2.0,-2.07671447770842
D1,Dataset 1,15,gamma_z[1],$\gamma_{11}$,1.0,1.019884809573264
D1,Dataset 1,15,beta_nb[0],$\beta_{20}$,4.0,4.356471837164017
D1,Dataset 1,15,beta_nb[1],$\beta_{21}$,3.5,3.339872119723217
D1,Dataset 1,15,gamma_nb[0],$\gamma_{20}$,1.0,1.0935537591178592
D1,Dataset 1,15,gamma_nb[1],$\gamma_{21}$,-3.0,-2.539218919439755
D1,Dataset 1,26,beta_z[0],$\beta_{10}$,2.0,1.9892317208247619
D1,Dataset 1,26,beta_z[1],$\beta_{11}$,1.0,1.0350898007697118
D1,Dataset 1,26,gamma_z[0],$\gamma_{10}$,-2.0,-1.941536279027453
D1,Dataset 1,26,gamma_z[1],$\gamma_{11}$,1.0,0.9829134578324952
D1,Dataset 1,26,beta_nb[0],$\beta_{20}$,4.0,3.8092773025512185
D1,Dataset 1,26,beta_nb[1],$\beta_{21}$,3.5,3.754912570324384
D1,Dataset 1,26,gamma_nb[0],$\gamma_{20}$,1.0,1.1225392010310549
D1,Dataset 1,26,gamma_nb[1],$\gamma_{21}$,-3.0,-3.3510328680709143
D1,Dataset 1,20,beta_z[0],$\beta_{10}$,2.0,2.047458609505801
D1,Dataset 1,20,beta_z[1],$\beta_{11}$,1.0,0.9488282181199112
D1,Dataset 1,20,gamma_z[0],$\gamma_{10}$,-2.0,-2.0840869551237002
D1,Dataset 1,20,gamma_z[1],$\gamma_{11}$,1.0,1.0297422261779303
D1,Dataset 1,20,beta_nb[0],$\beta_{20}$,4.0,4.503732407612166
D1,Dataset 1,20,beta_nb[1],$\beta_{21}$,3.5,3.3486139246640314
D1,Dataset 1,20,gamma_nb[0],$\gamma_{20}$,1.0,1.2560444928784185
D1,Dataset 1,20,gamma_nb[1],$\gamma_{21}$,-3.0,-2.7976615052291725
D1,Dataset 1,27,beta_z[0],$\beta_{10}$,2.0,1.9598717191376227
D1,Dataset 1,27,beta_z[1],$\beta_{11}$,1.0,1.016214639870408
D1,Dataset 1,27,gamma_z[0],$\gamma_{10}$,-2.0,-2.074766244896067
D1,Dataset 1,27,gamma_z[1],$\gamma_{11}$,1.0,1.0168129697671335
D1,Dataset 1,27,beta_nb[0],$\beta_{20}$,4.0,4.162390916651272
D1,Dataset 1,27,beta_nb[1],$\beta_{21}$,3.5,3.4516864300452927
D1,Dataset 1,27,gamma_nb[0],$\gamma_{20}$,1.0,0.7437760526455235
D1,Dataset 1,27,gamma_nb[1],$\gamma_{21}$,-3.0,-2.147910765991791
D1,Dataset 1,28,beta_z[0],$\beta_{10}$,2.0,1.9644943820039602
D1,Dataset 1,28,beta_z[1],$\beta_{11}$,1.0,1.0209985509989428
D1,Dataset 1,28,gamma_z[0],$\gamma_{10}$,-2.0,-2.0354207395535453
D1,Dataset 1,28,gamma_z[1],$\gamma_{11}$,1.0,1.036564736631312
D1,Dataset 1,28,beta_nb[0],$\beta_{20}$,4.0,4.154699198248785
D1,Dataset 1,28,beta_nb[1],$\beta_{21}$,3.5,3.1478853081175924
D1,Dataset 1,28,gamma_nb[0],$\gamma_{20}$,1.0,0.8834156798300713
D1,Dataset 1,28,gamma_nb[1],$\gamma_{21}$,-3.0,-2.7898550642686315
D1,Dataset 1,25,beta_z[0],$\beta_{10}$,2.0,1.981189876337262
D1,Dataset 1,25,beta_z[1],$\beta_{11}$,1.0,1.0333043427050734
D1,Dataset 1,25,gamma_z[0],$\gamma_{10}$,-2.0,-2.351527832155881
D1,Dataset 1,25,gamma_z[1],$\gamma_{11}$,1.0,1.1585213645081018
D1,Dataset 1,25,beta_nb[0],$\beta_{20}$,4.0,3.969201372438422
D1,Dataset 1,25,beta_nb[1],$\beta_{21}$,3.5,3.336886763737715
D1,Dataset 1,25,gamma_nb[0],$\gamma_{20}$,1.0,0.8522825981308281
D1,Dataset 1,25,gamma_nb[1],$\gamma_{21}$,-3.0,-2.3634292537485226
D1,Dataset 1,23,beta_z[0],$\beta_{10}$,2.0,2.044342103669786
D1,Dataset 1,23,beta_z[1],$\beta_{11}$,1.0,0.9500910824648445
D1,Dataset 1,23,gamma_z[0],$\gamma_{10}$,-2.0,-2.1591881636094863
D1,Dataset 1,23,gamma_z[1],$\gamma_{11}$,1.0,1.0781635079478311
D1,Dataset 1,23,beta_nb[0],$\beta_{20}$,4.0,4.334315991122921
D1,Dataset 1,23,beta_nb[1],$\beta_{21}$,3.5,3.2070094289291697
D1,Dataset 1,23,gamma_nb[0],$\gamma_{20}$,1.0,1.2138811714425313
D1,Dataset 1,23,gamma_nb[1],$\gamma_{21}$,-3.0,-3.1275270461517337
D1,Dataset 1,29,beta_z[0],$\beta_{10}$,2.0,1.9351334478259996
D1,Dataset 1,29,beta_z[1],$\beta_{11}$,1.0,1.0605909865109429
D1,Dataset 1,29,gamma_z[0],$\gamma_{10}$,-2.0,-2.001350146864602
D1,Dataset 1,29,gamma_z[1],$\gamma_{11}$,1.0,1.027043281300778
D1,Dataset 1,29,beta_nb[0],$\beta_{20}$,4.0,4.7499763841629665
D1,Dataset 1,29,beta_nb[1],$\beta_{21}$,3.5,3.034376102104322
