Scenario,Dataset,Rep,elapsed_sec
D4,Dataset 4,1,81.43276119232178
D4,Dataset 4,4,75.43362998962402
D4,Dataset 4,2,83.50445365905762
D4,Dataset 4,3,84.74979758262634
D4,Dataset 4,6,72.43514204025269
D4,Dataset 4,5,86.71425938606262
D4,Dataset 4,8,77.1117775440216
D4,Dataset 4,10,81.00681662559509
D4,Dataset 4,7,90.13130164146423
D4,Dataset 4,11,83.54516577720642
D4,Dataset 4,9,90.59446907043457
D4,Dataset 4,12,91.5458869934082
D4,Dataset 4,13,86.50853443145752
D4,Dataset 4,18,74.03322434425354
D4,Dataset 4,14,89.8131513595581
D4,Dataset 4,17,81.94640946388245
D4,Dataset 4,15,84.56083607673645
D4,Dataset 4,16,87.46345901489258
D4,Dataset 4,19,82.69193720817566
D4,Dataset 4,21,77.52743458747864
D4,Dataset 4,20,88.71232867240906
D4,Dataset 4,23,69.25580143928528
D4,Dataset 4,22,89.74176383018494
D4,Dataset 4,25,78.29192876815796
D4,Dataset 4,26,82.53884267807007
D4,Dataset 4,24,94.13668942451477
D4,Dataset 4,27,83.51608848571777
D4,Dataset 4,29,76.77477097511292
D4,Dataset 4,28,86.06109356880188
D4,Dataset 4,30,84.7229552268982
D4,Dataset 4,32,86.25232267379761
D4,Dataset 4,34,79.227694272995
D4,Dataset 4,31,89.12707948684692
D4,Dataset 4,33,86.38710856437683
D4,Dataset 4,36,79.69359564781189
D4,Dataset 4,35,82.61809420585632
D4,Dataset 4,37,82.57391119003296
D4,Dataset 4,38,80.04160046577454
D4,Dataset 4,39,89.99846959114075
D4,Dataset 4,40,87.61276388168335
D4,Dataset 4,42,78.90163469314575
D4,Dataset 4,41,82.37714838981628
D4,Dataset 4,43,73.9942512512207
D4,Dataset 4,44,81.18104076385498
D4,Dataset 4,45,75.92627692222595
D4,Dataset 4,49,75.6885678768158
D4,Dataset 4,48,80.31137013435364
D4,Dataset 4,46,84.28578591346741
D4,Dataset 4,47,90.91502165794373
D4,Dataset 4,51,86.42602205276489
D4,Dataset 4,50,91.22153377532959
D4,Dataset 4,52,80.7682626247406
D4,Dataset 4,53,76.09461951255798
D4,Dataset 4,56,80.00800848007202
D4,Dataset 4,55,84.39362931251526
D4,Dataset 4,54,90.19580292701721
D4,Dataset 4,57,87.34385585784912
D4,Dataset 4,58,82.09418082237244
D4,Dataset 4,59,83.03220748901367
D4,Dataset 4,61,78.98630738258362
D4,Dataset 4,62,77.96815490722656
D4,Dataset 4,60,88.42355275154114
D4,Dataset 4,63,87.14242625236511
D4,Dataset 4,64,84.5017294883728
D4,Dataset 4,66,75.44982504844666
D4,Dataset 4,67,75.7034957408905
D4,Dataset 4,65,79.54391479492188
