Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D1,Dataset 1,41,alpha,natural_delta,1.5,1.4846686065706045,0.10207710413332226,1.284597482469293,1.684739730671916,True,inverse
D1,Dataset 1,43,logit_rho,optimizer,0.8472978603872034,0.873093132756331,0.06037714586069951,0.75475392686936,0.991432338643302,True,inverse
D1,Dataset 1,43,beta_z[0],optimizer,2.0,2.0473659353495304,0.04326444443545291,1.9625676242560426,2.132164246443018,True,inverse
D1,Dataset 1,43,beta_z[1],optimizer,1.0,0.9769832480777028,0.036871506492156855,0.9047150953530754,1.0492514008023301,True,inverse
D1,Dataset 1,43,gamma_z[0],optimizer,-2.0,-1.9870636744114432,0.12319396979868129,-2.2285238552168583,-1.7456034936060278,True,inverse
D1,Dataset 1,43,gamma_z[1],optimizer,1.0,0.997463108516686,0.05860103188058051,0.8826050860307482,1.1123211310026238,True,inverse
D1,Dataset 1,43,beta_nb[0],optimizer,4.0,4.359878097898585,0.45234818032885626,3.473275664454027,5.246480531343144,True,inverse
D1,Dataset 1,43,beta_nb[1],optimizer,3.5,3.4757311556395076,0.2605030478695584,2.9651451818151733,3.986317129463842,True,inverse
D1,Dataset 1,43,gamma_nb[0],optimizer,1.0,1.1888070376707338,0.2029219590560357,0.7910799979209039,1.5865340774205636,True,inverse
D1,Dataset 1,43,gamma_nb[1],optimizer,-3.0,-3.0788101848105556,0.43364444844444755,-3.9287533037616726,-2.2288670658594385,True,inverse
D1,Dataset 1,43,log_alpha,optimizer,0.4054651081081644,0.2933408632003154,0.0670005130640618,0.16201985759475426,0.42466186880587653,True,inverse
D1,Dataset 1,43,rho,natural_delta,0.7,0.7053889067243693,0.012547300536440228,0.6807961976729464,0.7299816157757921,True,inverse
D1,Dataset 1,43,alpha,natural_delta,1.5,1.340899775931413,0.08984097295489017,1.1648114689398281,1.5169880829229978,True,inverse
D1,Dataset 1,44,logit_rho,optimizer,0.8472978603872034,0.8963071485612149,0.06021478076565612,0.7782861782605288,1.0143281188619009,True,inverse
D1,Dataset 1,44,beta_z[0],optimizer,2.0,1.982236963608654,0.042587701494744036,1.898765068678956,2.0657088585383523,True,inverse
D1,Dataset 1,44,beta_z[1],optimizer,1.0,0.9738360634346868,0.03688383348033913,0.901543749813222,1.0461283770561514,True,inverse
D1,Dataset 1,44,gamma_z[0],optimizer,-2.0,-2.051867496483342,0.11773129319531991,-2.2826208311461693,-1.821114161820515,True,inverse
D1,Dataset 1,44,gamma_z[1],optimizer,1.0,1.0301922291667698,0.05663869074486641,0.9191803953068316,1.141204063026708,True,inverse
D1,Dataset 1,44,beta_nb[0],optimizer,4.0,4.176104722302024,0.46935679423536986,3.256165405600699,5.096044039003349,True,inverse
D1,Dataset 1,44,beta_nb[1],optimizer,3.5,3.644239777139406,0.27037007264301705,3.1143144347590925,4.174165119519719,True,inverse
D1,Dataset 1,44,gamma_nb[0],optimizer,1.0,1.1495638159461519,0.21661477191614822,0.7249988629905013,1.5741287689018024,True,inverse
D1,Dataset 1,44,gamma_nb[1],optimizer,-3.0,-3.1875863608988015,0.4292094458924115,-4.028836874847928,-2.346335846949675,True,inverse
D1,Dataset 1,44,log_alpha,optimizer,0.4054651081081644,0.3101215282266158,0.06836268318323337,0.1761306691874784,0.4441123872657532,True,inverse
D1,Dataset 1,44,rho,natural_delta,0.7,0.7101900297491514,0.012393415293346925,0.6858989357741914,0.7344811237241113,True,inverse
D1,Dataset 1,44,alpha,natural_delta,1.5,1.3635908188371173,0.09321872713972762,1.1808821136432512,1.5462995240309834,True,inverse
D1,Dataset 1,47,logit_rho,optimizer,0.8472978603872034,0.9072721400899573,0.062420887310186295,0.7849272009619921,1.0296170792179224,True,inverse
D1,Dataset 1,47,beta_z[0],optimizer,2.0,2.017118960077911,0.04203985139627507,1.9347208513412117,2.09951706881461,True,inverse
D1,Dataset 1,47,beta_z[1],optimizer,1.0,0.9799425166792444,0.0355857829491882,0.9101943820988355,1.0496906512596533,True,inverse
D1,Dataset 1,47,gamma_z[0],optimizer,-2.0,-1.9350312457914844,0.11942694152661505,-2.16910805118365,-1.7009544403993189,True,inverse
D1,Dataset 1,47,gamma_z[1],optimizer,1.0,0.9445599817843996,0.056027679910802757,0.8347457291592262,1.054374234409573,True,inverse
D1,Dataset 1,47,beta_nb[0],optimizer,4.0,4.744946297798727,0.5408553677203464,3.6848697770668477,5.805022818530606,True,inverse
D1,Dataset 1,47,beta_nb[1],optimizer,3.5,3.2419618343750503,0.2878854402307411,2.677706371522798,3.8062172972273025,True,inverse
D1,Dataset 1,47,gamma_nb[0],optimizer,1.0,1.2224313678385552,0.2182047581771084,0.7947500418114227,1.6501126938656876,True,inverse
D1,Dataset 1,47,gamma_nb[1],optimizer,-3.0,-3.224999092245779,0.4916971607181503,-4.188725527253354,-2.2612726572382043,True,inverse
D1,Dataset 1,47,log_alpha,optimizer,0.4054651081081644,0.36847895080089155,0.07052164967268919,0.23025651744242073,0.5067013841593624,True,inverse
D1,Dataset 1,47,rho,natural_delta,0.7,0.7124416340620067,0.012788076805100308,0.6873770035240101,0.7375062646000032,True,inverse
D1,Dataset 1,47,alpha,natural_delta,1.5,1.445534212971021,0.10194145735702882,1.2457289565512444,1.6453394693907974,True,inverse
D1,Dataset 1,48,logit_rho,optimizer,0.8472978603872034,0.8409455822152686,0.06319483941300463,0.7170836969657796,0.9648074674647577,True,inverse
D1,Dataset 1,48,beta_z[0],optimizer,2.0,2.020904985658892,0.0429319415079466,1.9367583803033168,2.1050515910144676,True,inverse
D1,Dataset 1,48,beta_z[1],optimizer,1.0,0.9887877733228324,0.036620423638150656,0.9170117429920571,1.0605638036536078,True,inverse
D1,Dataset 1,48,gamma_z[0],optimizer,-2.0,-2.0139667633508918,0.1303130059145872,-2.2693802549434827,-1.7585532717583008,True,inverse
D1,Dataset 1,48,gamma_z[1],optimizer,1.0,0.999188117470292,0.06026292407293877,0.881072786287332,1.117303448653252,True,inverse
D1,Dataset 1,48,beta_nb[0],optimizer,4.0,3.9495381190206866,0.49070006775362257,2.9877659862235864,4.9113102518177865,True,inverse
D1,Dataset 1,48,beta_nb[1],optimizer,3.5,3.5900226784488156,0.27398813574738695,3.0530059323839374,4.127039424513694,True,inverse
D1,Dataset 1,48,gamma_nb[0],optimizer,1.0,1.1800991677916282,0.2175093416709121,0.7537808581166405,1.6064174774666158,True,inverse
D1,Dataset 1,48,gamma_nb[1],optimizer,-3.0,-2.7706839084961894,0.3530199095494086,-3.46260293121303,-2.0787648857793486,True,inverse
D1,Dataset 1,48,log_alpha,optimizer,0.4054651081081644,0.4290548613096199,0.07048069416365284,0.29091270074886033,0.5671970218703795,True,inverse
D1,Dataset 1,48,rho,natural_delta,0.7,0.6986643291647056,0.0133045665376677,0.6725873787508768,0.7247412795785343,True,inverse
D1,Dataset 1,48,alpha,natural_delta,1.5,1.535805288375628,0.10824462282492328,1.3236458276387784,1.7479647491124775,True,inverse
D1,Dataset 1,45,logit_rho,optimizer,0.8472978603872034,0.9209148352490395,0.05877888631975021,0.8057082180623291,1.0361214524357498,True,inverse
D1,Dataset 1,45,beta_z[0],optimizer,2.0,1.9395759454215693,0.042289825500305696,1.8566878874409702,2.0224640034021686,True,inverse
D1,Dataset 1,45,beta_z[1],optimizer,1.0,1.0486870848096599,0.03534211133479351,0.9794165465934646,1.1179576230258552,True,inverse
D1,Dataset 1,45,gamma_z[0],optimizer,-2.0,-1.9164908020242424,0.10155201823811419,-2.1155327577709464,-1.7174488462775386,True,inverse
D1,Dataset 1,45,gamma_z[1],optimizer,1.0,0.9548483934547707,0.04911546389905852,0.858582084212616,1.0511147026969254,True,inverse
D1,Dataset 1,45,beta_nb[0],optimizer,4.0,4.092231865568993,0.46726075842059694,3.1764007790646236,5.008062952073363,True,inverse
D1,Dataset 1,45,beta_nb[1],optimizer,3.5,3.769519350726229,0.2752986685592068,3.2299339603501833,4.309104741102274,True,inverse
D1,Dataset 1,45,gamma_nb[0],optimizer,1.0,1.326010257624045,0.23546084486631963,0.8645070016860584,1.7875135135620313,True,inverse
D1,Dataset 1,45,gamma_nb[1],optimizer,-3.0,-3.59037694073815,0.45165329764166157,-4.475617404115806,-2.7051364773604933,True,inverse
D1,Dataset 1,45,log_alpha,optimizer,0.4054651081081644,0.37556329755074164,0.06764941003383759,0.24297045388441996,0.5081561412170633,True,inverse
D1,Dataset 1,45,rho,natural_delta,0.7,0.7152284730120511,0.011971889854197032,0.6917635688978249,0.7386933771262773,True,inverse
D1,Dataset 1,45,alpha,natural_delta,1.5,1.4558112385991484,0.09848477141186276,1.2627810866318974,1.6488413905663994,True,inverse
D1,Dataset 1,46,logit_rho,optimizer,0.8472978603872034,0.8663052358535218,0.06154423342688101,0.7456785383368351,0.9869319333702086,True,inverse
D1,Dataset 1,46,beta_z[0],optimizer,2.0,2.0253310620848337,0.04294568670208458,1.941157516148748,2.1095046080209197,True,inverse
D1,Dataset 1,46,beta_z[1],optimizer,1.0,0.996266706578088,0.03666527043474081,0.924402776525996,1.06813063663018,True,inverse
D1,Dataset 1,46,gamma_z[0],optimizer,-2.0,-2.0359601200820787,0.1332112106508272,-2.2970540929577,-1.7748661472064575,True,inverse
D1,Dataset 1,46,gamma_z[1],optimizer,1.0,1.0081792501125932,0.061533911655149195,0.8875727832685009,1.1287857169566857,True,inverse
D1,Dataset 1,46,beta_nb[0],optimizer,4.0,3.81313718474829,0.43516333099942767,2.960217055989412,4.666057313507168,True,inverse
D1,Dataset 1,46,beta_nb[1],optimizer,3.5,3.5502843702795186,0.24890716163916443,3.0624263334667563,4.0381424070922805,True,inverse
D1,Dataset 1,46,gamma_nb[0],optimizer,1.0,0.8656744871659496,0.22109600852320213,0.4323263104604735,1.2990226638714257,True,inverse
D1,Dataset 1,46,gamma_nb[1],optimizer,-3.0,-2.655196330662893,0.4269312635603693,-3.491981607241217,-1.8184110540845695,True,inverse
D1,Dataset 1,46,log_alpha,optimizer,0.4054651081081644,0.3262108756705153,0.06711011812053841,0.19467504415426004,0.4577467071867706,True,inverse
D1,Dataset 1,46,rho,natural_delta,0.7,0.7039763132791089,0.012825428278577612,0.6788384738530968,0.729114152705121,True,inverse
D1,Dataset 1,46,alpha,natural_delta,1.5,1.3857075500735085,0.09299499736595505,1.2034373552362365,1.5679777449107806,True,inverse
D1,Dataset 1,54,logit_rho,optimizer,0.8472978603872034,0.7231257120359643,0.06064655099351724,0.6042584720886706,0.8419929519832581,False,inverse
D1,Dataset 1,54,beta_z[0],optimizer,2.0,2.006096529730969,0.04459012213477978,1.9186998903468009,2.0934931691151375,True,inverse
D1,Dataset 1,54,beta_z[1],optimizer,1.0,1.0437376244331182,0.038309106593212655,0.9686517755104215,1.1188234733558151,True,inverse
D1,Dataset 1,54,gamma_z[0],optimizer,-2.0,-2.054239360850944,0.12310231283391689,-2.2955198940054213,-1.812958827696467,True,inverse
D1,Dataset 1,54,gamma_z[1],optimizer,1.0,1.0280105790925704,0.05736580342778493,0.915573604374112,1.1404475538110288,True,inverse
D1,Dataset 1,54,beta_nb[0],optimizer,4.0,3.203169578810068,0.3781891142176515,2.461918914943471,3.9444202426766646,False,inverse
D1,Dataset 1,54,beta_nb[1],optimizer,3.5,3.539537352061048,0.23292785986807701,3.082998746719617,3.996075957402479,True,inverse
D1,Dataset 1,54,gamma_nb[0],optimizer,1.0,1.072103823104547,0.2281213644120283,0.6249859488569716,1.5192216973521224,True,inverse
D1,Dataset 1,54,gamma_nb[1],optimizer,-3.0,-3.459101480690646,0.45600360172789084,-4.352868540077312,-2.56533442130398,True,inverse
D1,Dataset 1,54,log_alpha,optimizer,0.4054651081081644,0.529317843047103,0.06704162181340434,0.39791626429283056,0.6607194218013756,True,inverse
D1,Dataset 1,54,rho,natural_delta,0.7,0.6732949484553976,0.013340352735909321,0.6471478570930154,0.6994420398177799,False,inverse
