Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D1,Dataset 1,11,D1,NB,identity,-46577.0395511635,93160.079102327,93183.7895649846,20000,3,True,10,0.00017261138449709001,not_computed,nan,0,Optimization terminated successfully,1.9300105571746826
D1,Dataset 1,11,D1,ZIP,identity,-70153.56378011055,140315.1275602211,140346.74151043125,20000,4,True,12,0.00016337017016976318,not_computed,nan,0,Optimization terminated successfully,4.562700271606445
D1,Dataset 1,11,D1,ZINB,identity,-45850.396373951044,91710.79274790209,91750.31018566477,20000,5,True,15,0.00030199965541122253,not_computed,nan,0,Optimization terminated successfully,9.24594235420227
D1,Dataset 1,11,D1,P+NB,identity,-45148.609660103386,90309.21932020677,90356.640245522,20000,6,True,22,0.0006745878025888885,not_computed,nan,0,Optimization terminated successfully,13.083766222000122
D1,Dataset 1,11,D1,Z+P+NB,identity,-44633.20257690667,89282.40515381334,89345.63305423362,20000,8,True,23,0.000442581192381164,not_computed,nan,0,Optimization terminated successfully,27.92533302307129
D1,Dataset 1,11,D1,ZIP--ZINB,identity,-44571.93321148958,89163.86642297916,89242.90129850453,20000,10,True,58,0.0003882534341156374,inverse,3.414158002894226,10,Optimization terminated successfully,52.037354469299316
D1,Dataset 1,12,D1,Poisson,identity,-99720.11058706316,199444.22117412632,199460.0281492314,20000,2,True,6,0.00014435203110485517,not_computed,nan,0,Optimization terminated successfully,0.4893932342529297
D1,Dataset 1,12,D1,NB,identity,-46767.43376722405,93540.8675344481,93564.5779971057,20000,3,True,10,7.369848832894377e-05,not_computed,nan,0,Optimization terminated successfully,1.829552412033081
D1,Dataset 1,12,D1,ZIP,identity,-71594.76534888809,143197.53069777618,143229.14464798634,20000,4,True,12,0.0008710648134570009,not_computed,nan,0,Optimization terminated successfully,7.468776702880859
D1,Dataset 1,12,D1,ZINB,identity,-46003.34375032972,92016.68750065943,92056.20493842212,20000,5,True,16,0.0003097513391608908,not_computed,nan,0,Optimization terminated successfully,11.810479879379272
D1,Dataset 1,12,D1,P+NB,identity,-45360.02769272868,90732.05538545737,90779.47631077259,20000,6,True,15,0.00027022096108630933,not_computed,nan,0,Optimization terminated successfully,10.755719661712646
