Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,27,varphi,9.256456493713848,9.346287930787142
D1,Dataset 1,27,alpha,1.5,1.5058217249556598
D1,Dataset 1,27,omega,0.14585244222467292,0.17509593771878945
D1,Dataset 1,28,rho,0.7,0.694654372672267
D1,Dataset 1,28,lambda,3.507356232027654,3.5035029107434217
D1,Dataset 1,28,pi,0.39699135953640663,0.40206699334632995
D1,Dataset 1,28,varphi,9.275746812096791,8.899683735148132
D1,Dataset 1,28,alpha,1.5,1.5497118537492565
D1,Dataset 1,28,omega,0.14405323779030324,0.14503581600902993
D1,Dataset 1,25,rho,0.7,0.6830772115562327
D1,Dataset 1,25,lambda,3.504970101991954,3.536282018366846
D1,Dataset 1,25,pi,0.3964935424480777,0.3793569961447617
D1,Dataset 1,25,varphi,9.267395356971841,8.991116185596372
D1,Dataset 1,25,alpha,1.5,1.6125927510880789
D1,Dataset 1,25,omega,0.14482334052162366,0.1689858562027431
D1,Dataset 1,23,rho,0.7,0.6900022145291187
D1,Dataset 1,23,lambda,3.4958415111096155,3.46552778415577
D1,Dataset 1,23,pi,0.3946442625546106,0.38860268713825424
D1,Dataset 1,23,varphi,9.235445288883657,9.131493821435116
D1,Dataset 1,23,alpha,1.5,1.5449587100235032
D1,Dataset 1,23,omega,0.14723889799514,0.1584761944584646
D1,Dataset 1,29,rho,0.7,0.6956165085740428
D1,Dataset 1,29,lambda,3.4992245499259313,3.5251974922333678
D1,Dataset 1,29,pi,0.3953427399380421,0.4040979498090246
D1,Dataset 1,29,varphi,9.24728592474076,9.299187530146321
D1,Dataset 1,29,alpha,1.5,1.4713993402715746
D1,Dataset 1,29,omega,0.14656027509769268,0.14730408732124317
D1,Dataset 1,24,rho,0.7,0.686805338341144
D1,Dataset 1,24,lambda,3.48858949381643,3.4828655237099984
D1,Dataset 1,24,pi,0.3929261489998208,0.3926159344769524
D1,Dataset 1,24,varphi,9.210063228357507,8.810925483783638
D1,Dataset 1,24,alpha,1.5,1.6209167306405028
D1,Dataset 1,24,omega,0.14774604157471063,0.125620365501621
D1,Dataset 1,22,rho,0.7,0.6929385146608804
D1,Dataset 1,22,lambda,3.5012400308812373,3.517265471569429
D1,Dataset 1,22,pi,0.3956625510201644,0.4012577858539529
D1,Dataset 1,22,varphi,9.254340108084332,8.645485603838047
D1,Dataset 1,22,alpha,1.5,1.6263343201724674
D1,Dataset 1,22,omega,0.1452420522362984,0.1138238653225817
D1,Dataset 1,30,rho,0.7,0.6925411077534098
D1,Dataset 1,30,lambda,3.491011156548799,3.5277736609956425
D1,Dataset 1,30,pi,0.39343861266137753,0.38610728578409165
D1,Dataset 1,30,varphi,9.218539047920798,8.911911249304636
D1,Dataset 1,30,alpha,1.5,1.6698119591262575
D1,Dataset 1,30,omega,0.147141525229933,0.1297764897776712
D1,Dataset 1,33,rho,0.7,0.735388861226546
D1,Dataset 1,33,lambda,3.5034866950257086,3.475955999387097
D1,Dataset 1,33,pi,0.3962647006895841,0.40804631492295673
