Scenario,Dataset,Rep,Count,Observed,Expected,RootogramDiff
D3,Dataset 3,0,33,2.0,3.567396646272794,-0.47454175430315293
D3,Dataset 3,0,34,2.0,3.2257672445425305,-0.381828543075029
D3,Dataset 3,0,35,3.0,2.9175037317309167,0.023980629932455644
D3,Dataset 3,0,36,3.0,2.6392988005488043,0.10745892018644776
D3,Dataset 3,0,37,0.0,2.388175484432494,-1.5453722802071008
D3,Dataset 3,0,38,1.0,2.16145429450268,-0.4701885234563219
D3,Dataset 3,0,39,0.0,1.9567235418147528,-1.398829346923617
D3,Dataset 3,0,40,3.0,1.7718125591628553,0.4009563108621801
D3,Dataset 3,0,41,1.0,1.604767556650583,-0.26679420453781
D3,Dataset 3,0,42,1.0,1.4538298652823602,-0.20574867417814735
D3,Dataset 3,0,43,0.0,1.3174163424702179,-1.1477875859540465
D3,Dataset 3,0,44,1.0,1.1941017322419936,-0.09274962010608512
D3,Dataset 3,0,45,3.0,1.082602790871706,0.6915688082667721
D3,Dataset 3,0,46,2.0,0.9817640055041288,0.4233735119592411
D3,Dataset 3,0,47,0.0,0.8905447490492913,-0.9436867854586559
D3,Dataset 3,0,48,0.0,0.8080077291745716,-0.8988925014564153
D3,Dataset 3,0,49,0.0,0.7333086026247466,-0.8563343988330415
D3,Dataset 3,0,50,2.0,0.6656866384069846,0.5983173444587181
D3,Dataset 3,0,51,1.0,0.6044563246273817,0.2225321070118833
D3,Dataset 3,0,52,0.0,0.5489998240261647,-0.7409452233641598
D3,Dataset 3,0,53,0.0,0.4987601925933042,-0.706229560832244
D3,Dataset 3,0,54,1.0,0.4532352841191297,0.3267724871047457
D3,Dataset 3,0,55,0.0,0.4119722712137977,-0.6418506611461873
D3,Dataset 3,0,56,1.0,0.37456272027846504,0.3879847058459527
D3,Dataset 3,0,57,0.0,0.340638164190973,-0.5836421542272053
D3,Dataset 3,0,58,0.0,0.3098661221381942,-0.5566561974308686
D3,Dataset 3,0,59,1.0,0.28194652114006025,0.4690136337531252
D3,Dataset 3,0,60,1.0,0.25660847841847406,0.49343462572095
D3,Dataset 3,0,>60,4.0,2.68408554961419,0.3616820975115391
D3,Dataset 3,1,0,3226.0,3229.092518115911,-0.027217362114328125
D3,Dataset 3,1,1,167.0,161.22658654916287,0.22534482131367284
D3,Dataset 3,1,2,185.0,176.24662381159013,0.32567961660437916
D3,Dataset 3,1,3,184.0,188.43063040462647,-0.1623437273683468
D3,Dataset 3,1,4,174.0,188.6583015708344,-0.5443880528079639
D3,Dataset 3,1,5,190.0,174.53285107196973,0.5729605655716821
D3,Dataset 3,1,6,139.0,149.73268428782492,-0.44670460669617285
D3,Dataset 3,1,7,111.0,120.73862451778383,-0.4524591205110884
D3,Dataset 3,1,8,95.0,93.39386129972803,0.08274440186433729
D3,Dataset 3,1,9,69.0,71.06618491278844,-0.12345234746036127
D3,Dataset 3,1,10,68.0,54.59366198663511,0.8574588540687254
D3,Dataset 3,1,11,54.0,43.203174387269904,0.7755570589021215
D3,Dataset 3,1,12,25.0,35.52839065883133,-0.960569658919467
D3,Dataset 3,1,13,32.0,30.27524885608254,0.15455937770637806
D3,Dataset 3,1,14,31.0,26.489183597772417,0.42099998141790795
D3,Dataset 3,1,15,17.0,23.566846372674036,-0.7314640126380354
D3,Dataset 3,1,16,25.0,21.16553504346907,0.3993984041791805
D3,Dataset 3,1,17,20.0,19.103526679493704,0.10137781944761315
D3,Dataset 3,1,18,22.0,17.286716835957343,0.5326859903509904
D3,Dataset 3,1,19,14.0,15.664526881043146,-0.2161863293223809
D3,Dataset 3,1,20,12.0,14.206783941591288,-0.3050871492505838
D3,Dataset 3,1,21,14.0,12.892771000870344,0.15100688848392485
D3,Dataset 3,1,22,13.0,11.706415455497385,0.18408734090361056
D3,Dataset 3,1,23,11.0,10.634263792490911,0.05560289645604888
D3,Dataset 3,1,24,8.0,9.664621298864953,-0.2803702792132494
