Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
H2AX4H100,identity,1,Z+P+NB,0.4108281135559082,True,35,-976.516480424822,1969.032960849644,2002.3730927767508,1.3276376518156496e-06,not_computed
H2AX4H100,identity,1,ZIP--ZINB,0.6256515979766846,True,49,-974.1599882759001,1968.3199765518002,2009.9951414606837,0.006643779403998851,not_computed
H2AX4H100,identity,0,Poisson,0.026701688766479492,True,5,-1028.4298496908996,2060.859699381799,2069.190535090262,6.47934245590065e-06,not_computed
H2AX4H100,identity,0,NB,0.05901145935058594,True,9,-1027.870904525237,2061.741809050474,2074.238062613168,1.6235950254905873e-05,not_computed
H2AX4H100,identity,0,ZIP,0.06475424766540527,True,10,-969.1667565639657,1946.3335131279314,1962.995184544857,0.00014746754330030587,not_computed
H2AX4H100,identity,0,ZINB,0.20697927474975586,True,27,-969.1662550502064,1948.3325101004127,1969.1595993715698,0.00011109763811267825,not_computed
H2AX4H100,identity,0,P+NB,0.37221455574035645,True,41,-971.6208912330958,1955.2417824661916,1980.2342895915801,48.23147129284459,not_computed
H2AX4H100,identity,0,Z+P+NB,0.3913261890411377,True,31,-969.1666539920825,1954.333307984165,1987.6566508180163,0.0025860873071064105,not_computed
H2AX4H100,identity,0,ZIP--ZINB,0.7149765491485596,True,131,-966.3527672271889,1952.7055344543778,1994.359712996692,0.006161327735494552,not_computed
H2AX4H100,identity,3,Poisson,0.028316736221313477,True,4,-1040.6971676823919,2085.3943353647837,2093.7293683465605,0.00010611364329449202,not_computed
H2AX4H100,identity,3,NB,0.05650901794433594,True,9,-1038.374166001815,2082.74833200363,2095.250881476295,3.397199120014349e-05,not_computed
H2AX4H100,identity,3,ZIP,0.06572461128234863,True,10,-975.3498401202853,1958.6996802405706,1975.3697462041239,8.165140480054234e-05,not_computed
H2AX4H100,identity,3,ZINB,0.2051687240600586,True,28,-975.3495448814803,1960.6990897629605,1981.5366722174022,5.8657522668994915e-05,not_computed
H2AX4H100,identity,3,P+NB,0.31929898262023926,True,41,-975.7993652916779,1963.5987305833557,1988.6038295286858,34.719956383857955,not_computed
H2AX4H100,identity,3,Z+P+NB,0.39511942863464355,True,51,-975.3498401282823,1966.6996802565645,2000.0398121836713,8.436124802901901e-05,not_computed
H2AX4H100,identity,3,ZIP--ZINB,0.32430529594421387,True,45,-973.1678619646913,1966.3357239293825,2008.010888838266,0.028613444453845338,not_computed
H2AX1H60,log,4,Poisson,0.031260013580322266,True,7,-1285.7583834623993,2575.5167669247985,2583.8643391326023,5.750297161633e-05,not_computed
H2AX1H60,log,4,NB,0.06426858901977539,True,12,-1028.3186628239682,2062.6373256479364,2075.158683959642,7.7964280440046e-05,not_computed
H2AX1H60,log,4,ZIP,0.07725954055786133,True,12,-961.3426548229938,1930.6853096459877,1947.3804540615954,0.00016272807389361432,not_computed
H2AX1H60,log,4,ZINB,0.16155362129211426,True,16,-955.6130830251959,1921.2261660503918,1942.0950965699014,0.00011315648668086542,not_computed
H2AX1H60,log,4,P+NB,0.2673940658569336,True,25,-945.7684575815194,1903.5369151630389,1928.5796317864506,0.00013361900120223424,not_computed
H2AX1H60,log,4,Z+P+NB,0.5766487121582031,True,36,-944.5181183828615,1905.036236765723,1938.4265255969385,0.00030656468400303005,not_computed
H2AX1H60,log,4,ZIP--ZINB,0.9088542461395264,True,33,-934.1347402696192,1888.2694805392384,1930.0073415782579,0.0013142653220515992,not_computed
H2AX4H100,identity,4,Poisson,0.02662181854248047,True,5,-1035.6569520340504,2075.313904068101,2083.6489370498775,7.300582759661722e-06,not_computed
H2AX4H100,identity,4,NB,0.058850765228271484,True,8,-1033.4153749717716,2072.830749943543,2085.3332994162083,6.261416365616057e-06,not_computed
H2AX4H100,identity,4,ZIP,0.06664037704467773,True,10,-972.8526698638047,1953.7053397276095,1970.3754056911628,4.4027935779622496e-05,not_computed
H2AX4H100,identity,4,ZINB,0.2140793800354004,True,29,-972.8522151900067,1955.7044303800135,1976.5420128344551,0.011845619063168361,not_computed
H2AX4H100,identity,4,P+NB,0.27915215492248535,True,24,-974.127015188286,1960.254030376572,1985.259129321902,43.86635474922217,not_computed
H2AX4H100,identity,4,Z+P+NB,0.3624727725982666,True,28,-972.8522329866071,1961.7044659732142,1995.044597900321,0.00038552740228769977,not_computed
H2AX4H100,identity,4,ZIP--ZINB,0.5834343433380127,True,92,-970.3085342258516,1960.6170684517033,2002.2922333605868,0.0020472939593272343,not_computed
H2AX4H100,log,0,Poisson,0.029865741729736328,True,10,-1033.743181703213,2071.486363406426,2079.817199114889,1.0091417689039872e-05,not_computed
H2AX4H100,log,0,NB,0.061441659927368164,True,9,-1031.804879947624,2069.609759895248,2082.106013457942,1.8758744840141617e-05,not_computed
H2AX4H100,log,0,ZIP,0.06509900093078613,True,11,-972.3212139379793,1952.6424278759587,1969.3040992928843,4.535680554518251e-05,not_computed
H2AX4H100,log,0,ZINB,0.22082924842834473,True,30,-972.3207455830317,1954.6414911660634,1975.4685804372205,1.0994395274188662e-05,not_computed
H2AX4H100,log,0,P+NB,0.3447883129119873,True,27,-972.4423585475115,1956.884717095023,1981.8772242204116,0.005963111426559031,not_computed
H2AX4H100,log,0,Z+P+NB,0.4503059387207031,True,59,-972.3212139457164,1960.6424278914328,1993.965770725284,1.6065517275509755e-05,not_computed
H2AX4H100,log,0,ZIP--ZINB,0.4517481327056885,True,1,-972.3209797604204,1964.6419595208408,2006.296138063155,0.00011708873711613332,not_computed
C2,log,2,Poisson,0.09698295593261719,True,14,-2738.1266452284212,5482.2532904568425,5501.475425433069,0.0029511022632959794,not_computed
C2,log,2,NB,0.25583672523498535,True,13,-2288.624660936537,4585.249321873074,4610.878835174711,0.0005227593354817373,not_computed
C2,log,2,ZIP,0.28720927238464355,True,12,-2215.949470763297,4441.898941526594,4473.93583315364,0.001234514994877145,not_computed
C2,log,2,ZINB,1.227229356765747,True,38,-2215.9488751879153,4443.897750375831,4482.342020328285,0.0035416067365474646,not_computed
C2,log,2,P+NB,1.8919384479522705,True,63,-2217.369818952481,4450.739637904962,4501.9986645082345,0.038966743923111835,not_computed
C2,log,2,Z+P+NB,3.3077893257141113,True,93,-2212.4939251008927,4444.9878502017855,4509.061633455875,0.03972981041980006,not_computed
C2,log,2,ZIP--ZINB,8.650071382522583,True,287,-2211.007252513164,4446.014505026328,4522.903044931237,0.0836218942266953,not_computed
H2AX4H100,log,2,Poisson,0.02753424644470215,True,7,-1044.653324598134,2093.306649196268,2101.641682178045,0.00022377198095657747,not_computed
H2AX4H100,log,2,NB,0.06202888488769531,True,7,-1042.5949571194449,2091.1899142388897,2103.692463711555,4.10951107516766e-05,not_computed
H2AX4H100,log,2,ZIP,0.0697784423828125,True,11,-985.391941380135,1978.78388276027,1995.4539487238233,0.00031117134398073176,not_computed
H2AX4H100,log,2,ZINB,0.20687341690063477,True,32,-985.3919057112107,1980.7838114224214,2001.621393876863,0.0004739200388312881,not_computed
H2AX4H100,log,2,P+NB,0.46648430824279785,True,89,-985.9236910195642,1983.8473820391284,2008.8524809844585,5.189795492910321e-06,not_computed
H2AX4H100,log,2,Z+P+NB,0.3789818286895752,True,30,-985.3916641714314,1986.783328342863,2020.1234602699697,0.001956647285137336,not_computed
