Dataset,Model,Link,Row,Col,Value
C2,ZINB,log,5,5,1.3398992090239126e-05
C2,P+NB,identity,0,0,-341.8780559974341
C2,P+NB,identity,0,1,-317.4049725982954
C2,P+NB,identity,0,2,-547.2976113870213
C2,P+NB,identity,0,3,-1235.2561548371525
C2,P+NB,identity,0,4,-2322.14691103068
C2,P+NB,identity,0,5,-6380.670686669392
C2,P+NB,identity,0,6,-22770.05555764167
C2,P+NB,identity,0,7,5.415374279515623
C2,P+NB,identity,1,0,-317.4049725982954
C2,P+NB,identity,1,1,-1421.1561295086124
C2,P+NB,identity,1,2,-2033.080782501779
C2,P+NB,identity,1,3,-3989.627474873594
C2,P+NB,identity,1,4,-4005.749940626182
C2,P+NB,identity,1,5,-2895.8301870310183
C2,P+NB,identity,1,6,4162.2518107058795
C2,P+NB,identity,1,7,-4.131469688194497
C2,P+NB,identity,2,0,-547.2976113870213
C2,P+NB,identity,2,1,-2033.080782501779
C2,P+NB,identity,2,2,-3989.627474873594
C2,P+NB,identity,2,3,-11089.882100462142
C2,P+NB,identity,2,4,-2895.8301870310183
C2,P+NB,identity,2,5,4162.25181070588
C2,P+NB,identity,2,6,41774.26117957068
C2,P+NB,identity,2,7,-12.411295882175242
C2,P+NB,identity,3,0,-1235.2561548371525
C2,P+NB,identity,3,1,-3989.627474873594
C2,P+NB,identity,3,2,-11089.882100462142
C2,P+NB,identity,3,3,-39558.719950617866
C2,P+NB,identity,3,4,4162.25181070588
C2,P+NB,identity,3,5,41774.26117957068
C2,P+NB,identity,3,6,231732.68915167465
C2,P+NB,identity,3,7,-33.753494696285664
C2,P+NB,identity,4,0,-2322.14691103068
C2,P+NB,identity,4,1,-4005.749940626182
C2,P+NB,identity,4,2,-2895.8301870310183
C2,P+NB,identity,4,3,4162.25181070588
C2,P+NB,identity,4,4,-43142.40723788271
C2,P+NB,identity,4,5,-131506.24668382268
C2,P+NB,identity,4,6,-543713.9087552609
C2,P+NB,identity,4,7,53.74913615080478
C2,P+NB,identity,5,0,-6380.670686669392
C2,P+NB,identity,5,1,-2895.8301870310183
C2,P+NB,identity,5,2,4162.25181070588
C2,P+NB,identity,5,3,41774.26117957068
C2,P+NB,identity,5,4,-131506.24668382268
C2,P+NB,identity,5,5,-543713.9087552609
C2,P+NB,identity,5,6,-2520181.015806395
C2,P+NB,identity,5,7,186.8080761482217
C2,P+NB,identity,6,0,-22770.05555764167
C2,P+NB,identity,6,1,4162.2518107058795
C2,P+NB,identity,6,2,41774.26117957068
C2,P+NB,identity,6,3,231732.68915167465
C2,P+NB,identity,6,4,-543713.9087552609
C2,P+NB,identity,6,5,-2520181.015806395
C2,P+NB,identity,6,6,-12144738.162461434
C2,P+NB,identity,6,7,622.9276501707271
C2,P+NB,identity,7,0,5.415374279515623
C2,P+NB,identity,7,1,-4.131469688194497
C2,P+NB,identity,7,2,-12.411295882175242
C2,P+NB,identity,7,3,-33.753494696285664
C2,P+NB,identity,7,4,53.74913615080478
C2,P+NB,identity,7,5,186.8080761482217
C2,P+NB,identity,7,6,622.9276501707271
C2,P+NB,identity,7,7,-3.0376747547216696
C2,P+NB,log,0,0,-334.9322421259578
C2,P+NB,log,0,1,-199.94732535956535
C2,P+NB,log,0,2,-501.20465613742306
C2,P+NB,log,0,3,-1569.5262264950752
C2,P+NB,log,0,4,-62.89857544343592
C2,P+NB,log,0,5,-120.07822014587602
C2,P+NB,log,0,6,-272.6619104002589
C2,P+NB,log,0,7,12.492852968292004
C2,P+NB,log,1,0,-199.94732535956535
C2,P+NB,log,1,1,-857.4580165897773
C2,P+NB,log,1,2,-3255.785012889173
C2,P+NB,log,1,3,-13870.347833329735
C2,P+NB,log,1,4,-71.3041158662045
C2,P+NB,log,1,5,-114.36524705078757
C2,P+NB,log,1,6,-201.606723887771
C2,P+NB,log,1,7,-2.3097547055801746
C2,P+NB,log,2,0,-501.20465613742306
C2,P+NB,log,2,1,-3255.785012889173
C2,P+NB,log,2,2,-13870.347833329737
C2,P+NB,log,2,3,-62371.31535359497
C2,P+NB,log,2,4,-114.36524705078757
C2,P+NB,log,2,5,-201.606723887771
C2,P+NB,log,2,6,-369.1196597033326
C2,P+NB,log,2,7,-8.142099237701702
C2,P+NB,log,3,0,-1569.5262264950752
C2,P+NB,log,3,1,-13870.347833329735
C2,P+NB,log,3,2,-62371.31535359497
C2,P+NB,log,3,3,-288996.6541690682
C2,P+NB,log,3,4,-201.606723887771
C2,P+NB,log,3,5,-369.1196597033326
C2,P+NB,log,3,6,-640.6713572356034
C2,P+NB,log,3,7,-25.31026082308938
C2,P+NB,log,4,0,-62.89857544343592
C2,P+NB,log,4,1,-71.3041158662045
C2,P+NB,log,4,2,-114.36524705078757
C2,P+NB,log,4,3,-201.606723887771
C2,P+NB,log,4,4,-40.00962632473352
C2,P+NB,log,4,5,-69.93576167225142
C2,P+NB,log,4,6,-138.87214119040578
C2,P+NB,log,4,7,-2.955424934241889
C2,P+NB,log,5,0,-120.07822014587602
C2,P+NB,log,5,1,-114.36524705078757
C2,P+NB,log,5,2,-201.606723887771
C2,P+NB,log,5,3,-369.1196597033326
C2,P+NB,log,5,4,-69.93576167225142
C2,P+NB,log,5,5,-138.87214119040578
C2,P+NB,log,5,6,-304.90497483244667
C2,P+NB,log,5,7,-4.3682107186904044
C2,P+NB,log,6,0,-272.6619104002589
C2,P+NB,log,6,1,-201.606723887771
C2,P+NB,log,6,2,-369.1196597033326
C2,P+NB,log,6,3,-640.6713572356034
C2,P+NB,log,6,4,-138.87214119040578
C2,P+NB,log,6,5,-304.90497483244667
C2,P+NB,log,6,6,-725.0222907498804
C2,P+NB,log,6,7,-6.8314826770346375
C2,P+NB,log,7,0,12.492852968292004
C2,P+NB,log,7,1,-2.3097547055801746
C2,P+NB,log,7,2,-8.142099237701702
C2,P+NB,log,7,3,-25.31026082308938
C2,P+NB,log,7,4,-2.955424934241889
C2,P+NB,log,7,5,-4.3682107186904044
C2,P+NB,log,7,6,-6.8314826770346375
C2,P+NB,log,7,7,-9.915575537570554
C2,Z+P+NB,identity,0,0,-31.235344616651112
C2,Z+P+NB,identity,0,1,-189.8812256839794
C2,Z+P+NB,identity,0,2,-285.54214924250863
C2,Z+P+NB,identity,0,3,-558.0273910297831
C2,Z+P+NB,identity,0,4,-79.26847145905833
C2,Z+P+NB,identity,0,5,-157.45305453449512
C2,Z+P+NB,identity,0,6,-418.05766977179076
C2,Z+P+NB,identity,0,7,107.522393610773
C2,Z+P+NB,identity,0,8,320.0015307500282
C2,Z+P+NB,identity,0,9,2.2082343338878148e-08
C2,Z+P+NB,identity,1,0,-189.8812256839794
C2,Z+P+NB,identity,1,1,-3660.286016962967
C2,Z+P+NB,identity,1,2,-4577.303000992532
C2,Z+P+NB,identity,1,3,-7223.797192877013
C2,Z+P+NB,identity,1,4,-769.4064622991554
C2,Z+P+NB,identity,1,5,-719.7596745665027
C2,Z+P+NB,identity,1,6,-329.24293884085324
C2,Z+P+NB,identity,1,7,608.727141617798
C2,Z+P+NB,identity,1,8,901.1021442290237
C2,Z+P+NB,identity,1,9,-7.052918643893932e-08
C2,Z+P+NB,identity,2,0,-285.54214924250863
C2,Z+P+NB,identity,2,1,-4577.303000992532
C2,Z+P+NB,identity,2,2,-7223.797192877013
C2,Z+P+NB,identity,2,3,-15963.848649448091
C2,Z+P+NB,identity,2,4,-719.7596745665027
C2,Z+P+NB,identity,2,5,-329.2429388408532
C2,Z+P+NB,identity,2,6,1795.0736335659667
C2,Z+P+NB,identity,2,7,901.1021442290237
C2,Z+P+NB,identity,2,8,1708.5384783431687
C2,Z+P+NB,identity,2,9,-3.0642892359455787e-07
C2,Z+P+NB,identity,3,0,-558.0273910297831
C2,Z+P+NB,identity,3,1,-7223.797192877013
C2,Z+P+NB,identity,3,2,-15963.848649448091
C2,Z+P+NB,identity,3,3,-48557.59899991579
C2,Z+P+NB,identity,3,4,-329.24293884085324
C2,Z+P+NB,identity,3,5,1795.0736335659662
C2,Z+P+NB,identity,3,6,12337.038688698985
C2,Z+P+NB,identity,3,7,1708.538478343169
C2,Z+P+NB,identity,3,8,4160.189968104304
C2,Z+P+NB,identity,3,9,-1.4661323189631418e-06
C2,Z+P+NB,identity,4,0,-79.26847145905833
C2,Z+P+NB,identity,4,1,-769.4064622991554
C2,Z+P+NB,identity,4,2,-719.7596745665027
C2,Z+P+NB,identity,4,3,-329.24293884085324
C2,Z+P+NB,identity,4,4,-464.1198611733519
C2,Z+P+NB,identity,4,5,-871.3530424044034
C2,Z+P+NB,identity,4,6,-2506.378112380419
C2,Z+P+NB,identity,4,7,287.96154590597337
C2,Z+P+NB,identity,4,8,627.6246397894716
C2,Z+P+NB,identity,4,9,-1.2428053934735434e-07
C2,Z+P+NB,identity,5,0,-157.45305453449512
C2,Z+P+NB,identity,5,1,-719.7596745665027
C2,Z+P+NB,identity,5,2,-329.2429388408532
C2,Z+P+NB,identity,5,3,1795.0736335659662
C2,Z+P+NB,identity,5,4,-871.3530424044034
C2,Z+P+NB,identity,5,5,-2506.378103560897
C2,Z+P+NB,identity,5,6,-9551.699222868692
