Dataset,Model,Link,Row,Col,Value,CovarianceStatus
C2,ZINB,log,3,3,0.040883784666657784,singular_pinv_rank_5_of_6
C2,ZINB,log,3,4,-0.010093675801866955,singular_pinv_rank_5_of_6
C2,ZINB,log,3,5,2.3583184624553967e-10,singular_pinv_rank_5_of_6
C2,ZINB,log,4,0,-0.00794237333646909,singular_pinv_rank_5_of_6
C2,ZINB,log,4,1,0.003474467819403284,singular_pinv_rank_5_of_6
C2,ZINB,log,4,2,-0.0003707224460607326,singular_pinv_rank_5_of_6
C2,ZINB,log,4,3,-0.010093675801866955,singular_pinv_rank_5_of_6
C2,ZINB,log,4,4,0.0027203890446690355,singular_pinv_rank_5_of_6
C2,ZINB,log,4,5,-5.845735649722559e-11,singular_pinv_rank_5_of_6
C2,ZINB,log,5,0,2.498758113423672e-10,singular_pinv_rank_5_of_6
C2,ZINB,log,5,1,-1.2216532912060894e-10,singular_pinv_rank_5_of_6
C2,ZINB,log,5,2,1.452482637495383e-11,singular_pinv_rank_5_of_6
C2,ZINB,log,5,3,2.3583184624553967e-10,singular_pinv_rank_5_of_6
C2,ZINB,log,5,4,-5.845735649722559e-11,singular_pinv_rank_5_of_6
C2,ZINB,log,5,5,1.5289354818770335e-18,singular_pinv_rank_5_of_6
C2,P+NB,identity,0,0,0.009687505074444472,inverse
C2,P+NB,identity,0,1,8.995724240839914e-06,inverse
C2,P+NB,identity,0,2,-0.0002962455669526346,inverse
C2,P+NB,identity,0,3,-0.0002730120299390355,inverse
C2,P+NB,identity,0,4,0.0011682494847410066,inverse
C2,P+NB,identity,0,5,-0.001695053460808934,inverse
C2,P+NB,identity,0,6,0.0002747604803467866,inverse
C2,P+NB,identity,0,7,-0.005723184557142804,inverse
C2,P+NB,identity,1,0,8.995724240839914e-06,inverse
C2,P+NB,identity,1,1,0.04291990030012789,inverse
C2,P+NB,identity,1,2,-0.03417148593082116,inverse
C2,P+NB,identity,1,3,0.005666368418471232,inverse
C2,P+NB,identity,1,4,-0.007367962742410877,inverse
C2,P+NB,identity,1,5,0.004680783245431936,inverse
C2,P+NB,identity,1,6,-0.000633837733846251,inverse
C2,P+NB,identity,1,7,0.045801666015670046,inverse
C2,P+NB,identity,2,0,-0.0002962455669526346,inverse
C2,P+NB,identity,2,1,-0.03417148593082116,inverse
C2,P+NB,identity,2,2,0.030566610540205753,inverse
C2,P+NB,identity,2,3,-0.005381596209700081,inverse
C2,P+NB,identity,2,4,0.004954528167614206,inverse
C2,P+NB,identity,2,5,-0.0033659666142638895,inverse
C2,P+NB,identity,2,6,0.0004657620975782618,inverse
C2,P+NB,identity,2,7,-0.04296096547789122,inverse
C2,P+NB,identity,3,0,-0.0002730120299390355,inverse
C2,P+NB,identity,3,1,0.005666368418471232,inverse
C2,P+NB,identity,3,2,-0.005381596209700081,inverse
C2,P+NB,identity,3,3,0.0010166723265227992,inverse
C2,P+NB,identity,3,4,-0.0007790482073948793,inverse
C2,P+NB,identity,3,5,0.0005769497859075485,inverse
C2,P+NB,identity,3,6,-8.111695677896091e-05,inverse
C2,P+NB,identity,3,7,0.007559454240136619,inverse
C2,P+NB,identity,4,0,0.0011682494847410066,inverse
C2,P+NB,identity,4,1,-0.007367962742410877,inverse
C2,P+NB,identity,4,2,0.004954528167614206,inverse
C2,P+NB,identity,4,3,-0.0007790482073948793,inverse
C2,P+NB,identity,4,4,0.0022085042453606437,inverse
C2,P+NB,identity,4,5,-0.0016189304861708672,inverse
C2,P+NB,identity,4,6,0.00023392052702280708,inverse
C2,P+NB,identity,4,7,-0.011995366668781163,inverse
C2,P+NB,identity,5,0,-0.001695053460808934,inverse
C2,P+NB,identity,5,1,0.004680783245431936,inverse
C2,P+NB,identity,5,2,-0.0033659666142638895,inverse
C2,P+NB,identity,5,3,0.0005769497859075485,inverse
C2,P+NB,identity,5,4,-0.0016189304861708672,inverse
C2,P+NB,identity,5,5,0.001379783987914352,inverse
C2,P+NB,identity,5,6,-0.00020905105759149622,inverse
C2,P+NB,identity,5,7,0.011291224009069692,inverse
C2,P+NB,identity,6,0,0.0002747604803467866,inverse
C2,P+NB,identity,6,1,-0.000633837733846251,inverse
C2,P+NB,identity,6,2,0.0004657620975782618,inverse
C2,P+NB,identity,6,3,-8.111695677896091e-05,inverse
C2,P+NB,identity,6,4,0.00023392052702280708,inverse
C2,P+NB,identity,6,5,-0.00020905105759149622,inverse
C2,P+NB,identity,6,6,3.2222169516726866e-05,inverse
C2,P+NB,identity,6,7,-0.0017590551758875166,inverse
C2,P+NB,identity,7,0,-0.005723184557142804,inverse
C2,P+NB,identity,7,1,0.045801666015670046,inverse
C2,P+NB,identity,7,2,-0.04296096547789122,inverse
C2,P+NB,identity,7,3,0.007559454240136619,inverse
C2,P+NB,identity,7,4,-0.011995366668781163,inverse
C2,P+NB,identity,7,5,0.011291224009069692,inverse
C2,P+NB,identity,7,6,-0.0017590551758875166,inverse
C2,P+NB,identity,7,7,0.4696384966325211,inverse
