Dataset,Model,Link,Log-Likelihood_analytical,Log-Likelihood_legacy,Delta_LogLik,AIC_analytical,AIC_legacy,Delta_AIC,BIC_analytical,BIC_legacy,Delta_BIC,success,grad_norm_inf
H2AX1H60,Z+P+NB,identity,-1165.9816830345585,-1162.3865949650065,-3.595088069552048,2347.963366069117,2342.773189930013,5.190176139104096,2383.1254588540405,2382.330544313052,0.7949145409884295,True,0.0067163288264768
H2AX1H60,Z+P+NB,log,-1162.5867340649284,-1162.5946545302295,0.007920465301140212,2341.1734681298567,2341.189309060459,-0.015840930602280423,2376.33556091478,2376.3514018453825,-0.015840930602280423,True,0.0211283781627398
H2AX1H60,ZIP--ZINB,identity,-1151.5405628805142,-1151.490883371864,-0.04967950865034254,2323.0811257610285,2326.9817667437283,-3.9006409826997697,2367.033741742183,2379.724905921113,-12.691164178930194,True,0.0055441020693508
H2AX1H60,ZIP--ZINB,log,-1151.733130429128,-1151.7350956533487,0.001965224220612072,2323.466260858256,2327.4701913066974,-4.003930448441224,2367.4188768394106,2380.2133304840827,-12.794453644672103,True,0.0059201648285737
H2AX4H100,Poisson,identity,-1305.5349257185617,-1305.5349257185617,0.0,2615.069851437124,2615.069851437124,0.0,2623.850332771254,2623.850332771254,0.0,True,9.479684154545254e-06
H2AX4H100,Poisson,log,-1305.4081337130851,-1305.4081337130851,0.0,2614.8162674261703,2614.8162674261703,0.0,2623.596748760301,2623.596748760301,0.0,True,5.410804629235599e-06
H2AX4H100,NB,identity,-1302.6526742466388,-1302.6526742466235,-1.5234036254696548e-11,2611.305348493277,2611.305348493247,3.001332515850663e-11,2624.4760704944733,2624.476070494443,3.0468072509393096e-11,True,2.9922486196820582e-05
H2AX4H100,NB,log,-1302.5439248474052,-1302.5439248473106,-9.458744898438454e-11,2611.0878496948103,2611.087849694621,1.8917489796876907e-10,2624.258571696006,2624.258571695817,1.8917489796876907e-10,True,0.0002821741884506
H2AX4H100,ZIP,identity,-1223.251144101269,-1305.534920797685,82.283776696416,2454.502288202538,2619.0698415953693,-164.56755339283154,2472.063250870799,2636.6308042636306,-164.56755339283154,True,2.9533856710450838e-05
H2AX4H100,ZIP,log,-1224.5668501208895,-1305.4081288490204,80.84127872813087,2457.1337002417795,2618.8162576980408,-161.6825574562613,2474.6946629100407,2636.377220366302,-161.6825574562613,True,2.308722706256816e-05
H2AX4H100,ZINB,identity,-1223.2510591754385,-1302.652670749596,79.40161157415741,2456.502118350877,2615.305341499192,-158.80322314831483,2478.453321686204,2637.2565448345185,-158.80322314831437,True,0.0001485686323411
