Dataset,Model,Link,Index,Value,SE,CovarianceStatus
C3,ZINB,identity,1,0.12211331462813385,0.09481466730164798,inverse
C3,ZINB,identity,2,0.09729699121788399,0.019782221185251893,inverse
C3,ZINB,identity,3,-0.8061727007065019,0.27976906918797134,inverse
C3,ZINB,identity,4,0.27753880811247644,0.06622239115572212,inverse
C3,ZINB,identity,5,-3.212901587101172,1.0664154270043875,inverse
C3,ZINB,log,0,-3.086041866074288,0.18192008838909593,inverse
C3,ZINB,log,1,1.5054746143315898,0.1119335555167877,inverse
C3,ZINB,log,2,-0.13520649229123896,0.017113925873744554,inverse
C3,ZINB,log,3,-0.8562561482287923,0.2814510237215027,inverse
C3,ZINB,log,4,0.2914934085653167,0.06721801741737876,inverse
C3,ZINB,log,5,-3.372475739401651,1.2221582958110804,inverse
C3,P+NB,identity,0,-0.5542337610697982,0.10421542196272064,inverse
C3,P+NB,identity,1,-0.6318913432835839,0.16694662140018862,inverse
C3,P+NB,identity,2,0.621464372971858,0.14398812370429628,inverse
C3,P+NB,identity,3,0.022756026457430033,0.026142263908184894,inverse
C3,P+NB,identity,4,0.2151350017336821,0.08525627596156954,inverse
C3,P+NB,identity,5,-0.04950194760794705,0.061631338207922666,inverse
C3,P+NB,identity,6,0.0017603032055790216,0.009086070611745234,inverse
C3,P+NB,identity,7,-0.9570551981353046,1.6183809869078538,inverse
C3,P+NB,log,0,-0.5348559544317163,0.08950496120361891,inverse
C3,P+NB,log,1,-2.645749326147066,0.3027332339262402,inverse
C3,P+NB,log,2,1.3599776669002686,0.17800459559684978,inverse
C3,P+NB,log,3,-0.12313357278138101,0.025052520746367046,inverse
C3,P+NB,log,4,-6.684771335436815,1.89306570649838,inverse
C3,P+NB,log,5,4.097591597103365,1.5960355170793799,inverse
C3,P+NB,log,6,-0.863853170276249,0.34737081898485084,inverse
C3,P+NB,log,7,0.3126805624704741,0.9707952157931284,inverse
C3,Z+P+NB,identity,0,-0.5628715727757353,1.1538163297321953,inverse
C3,Z+P+NB,identity,1,0.42077116197529235,0.23533572838783576,inverse
C3,Z+P+NB,identity,2,-0.15534672242217787,0.1954455382129751,inverse
C3,Z+P+NB,identity,3,0.016906408585034505,0.032641140205072146,inverse
C3,Z+P+NB,identity,4,-0.3664320094380241,0.2817959247616907,inverse
C3,Z+P+NB,identity,5,0.3665784956927502,0.25189270467795066,inverse
C3,Z+P+NB,identity,6,0.06523687022988126,0.042121431549991095,inverse
C3,Z+P+NB,identity,7,-1.4506942581261246,1.1948931776558878,inverse
C3,Z+P+NB,identity,8,0.25490028490525424,0.1777767855180732,inverse
C3,Z+P+NB,identity,9,-5.335553707028007,10.765852984329705,inverse
C3,Z+P+NB,log,0,-0.6521054650350816,0.7359942571142645,inverse
C3,Z+P+NB,log,1,-3.7790464430514636,0.8269867128938944,inverse
C3,Z+P+NB,log,2,3.3061640096173397,1.178041912549259,inverse
