Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,39,rho,0.7,0.6906878703726695
D1,Dataset 1,39,lambda,3.4985366659716006,3.485598740009676
D1,Dataset 1,39,pi,0.3949636734345376,0.3858178073308169
D1,Dataset 1,39,varphi,9.2448783309006,9.69824116884596
D1,Dataset 1,39,alpha,1.5,1.4254433810596254
D1,Dataset 1,39,omega,0.1451056326549195,0.1717422159339041
D1,Dataset 1,42,rho,0.7,0.7354638970991059
D1,Dataset 1,42,lambda,3.5058575498877347,3.507231607662322
D1,Dataset 1,42,pi,0.3966928600557586,0.4075075527392709
D1,Dataset 1,42,varphi,9.27050142460707,10.134183152271037
D1,Dataset 1,42,alpha,1.5,1.2205390709395063
D1,Dataset 1,42,omega,0.1447620846344897,0.1330162032601616
D1,Dataset 1,41,rho,0.7,0.7079925179173377
D1,Dataset 1,41,lambda,3.503512925856685,3.5073440303684715
D1,Dataset 1,41,pi,0.3962801549824493,0.4003385203526335
D1,Dataset 1,41,varphi,9.262295240498398,9.248374382149995
D1,Dataset 1,41,alpha,1.5,1.4846692288142171
D1,Dataset 1,41,omega,0.1458970037801018,0.1189109249281396
D1,Dataset 1,40,rho,0.7,0.6794719002501423
D1,Dataset 1,40,lambda,3.5076456618623006,3.497407637819511
D1,Dataset 1,40,pi,0.3972734996891602,0.3923845720153161
D1,Dataset 1,40,varphi,9.276759816518052,9.4413900837921
D1,Dataset 1,40,alpha,1.5,1.5643148326113092
D1,Dataset 1,40,omega,0.1455989170233601,0.1806913975359365
D1,Dataset 1,43,rho,0.7,0.7053889067243685
D1,Dataset 1,43,lambda,3.492507855245308,3.505521107548577
D1,Dataset 1,43,pi,0.3939289199805553,0.3957170329854946
D1,Dataset 1,43,varphi,9.223777493358575,9.54743415041138
D1,Dataset 1,43,alpha,1.5,1.3408997759314174
D1,Dataset 1,43,omega,0.1483008992974065,0.1600212558603095
D1,Dataset 1,45,rho,0.7,0.7152285972247396
D1,Dataset 1,45,lambda,3.5030147815968515,3.51576761571964
D1,Dataset 1,45,pi,0.3960740478431539,0.3979835425524942
D1,Dataset 1,45,varphi,9.260551735588978,9.757879747959898
D1,Dataset 1,45,alpha,1.5,1.4558106436024336
