n,Rep,elapsed_sec
5000,89,8.775010585784912
5000,88,8.884646654129028
5000,87,9.52994966506958
5000,91,8.856526136398315
5000,90,9.809565782546997
5000,92,7.212766408920288
5000,97,7.001227617263794
5000,93,9.180091142654419
5000,95,7.91129207611084
5000,96,7.923869609832764
5000,94,9.483829021453857
5000,98,7.549748182296753
5000,99,8.91701054573059
10000,0,25.231418132781982
10000,1,29.41631317138672
10000,2,30.496084213256836
10000,6,29.238828659057617
10000,3,33.75513315200806
10000,4,35.75480628013611
10000,7,35.46177864074707
10000,5,38.03384065628052
10000,8,28.375582933425903
10000,10,30.537009477615356
10000,9,32.563082218170166
10000,11,31.050422430038452
10000,12,33.928022384643555
10000,15,33.03049826622009
10000,13,36.974695682525635
10000,14,34.908817768096924
10000,16,29.902024269104004
10000,17,31.81123447418213
10000,19,31.239661693572998
10000,18,34.34457063674927
10000,20,30.54101037979126
10000,21,34.175310134887695
10000,22,34.83441495895386
10000,23,34.50252938270569
10000,24,28.707982540130615
10000,27,26.917092084884644
10000,28,27.118316888809204
10000,25,34.60932540893555
10000,26,34.50646376609802
10000,29,30.228414297103882
10000,30,30.183961629867554
10000,31,31.627814531326294
10000,32,31.076424598693848
10000,33,31.51697087287903
10000,35,27.479511737823486
10000,34,34.39562726020813
10000,36,32.52257752418518
10000,38,28.654640197753906
10000,37,32.800416707992554
10000,40,29.57490086555481
10000,39,31.033727884292603
10000,41,28.093626022338867
10000,43,29.51640295982361
10000,42,36.082069635391235
10000,44,31.192087411880493
10000,45,28.07796049118042
10000,46,28.77525782585144
10000,47,28.727887868881226
10000,48,36.14520001411438
10000,49,31.79891538619995
10000,50,29.822629690170288
10000,51,34.178555965423584
10000,52,33.97511672973633
10000,54,29.089190244674683
10000,53,33.04697823524475
10000,55,35.9643132686615
10000,57,28.504279613494873
10000,56,37.950029134750366
10000,58,27.92094898223877
10000,61,26.123496055603027
10000,62,29.562236309051514
10000,60,33.878093957901
10000,59,36.96638560295105
10000,63,27.4635648727417
10000,64,28.411072254180908
10000,66,32.049816608428955
10000,65,35.549623012542725
10000,68,28.5586359500885
10000,67,34.596510887145996
10000,69,30.09744429588318
10000,70,33.79206919670105
10000,71,35.92864489555359
10000,72,28.837690114974976
10000,73,30.451218843460083
10000,75,26.752673149108887
10000,74,34.43563771247864
10000,76,27.803847789764404
10000,77,35.6411771774292
10000,80,25.55896830558777
10000,79,31.488062620162964
10000,78,37.18307828903198
10000,81,29.835754871368408
10000,82,30.327221155166626
10000,84,27.86907124519348
10000,83,37.31920123100281
10000,85,32.79065299034119
10000,87,32.30298852920532
10000,86,39.67430758476257
10000,88,34.69848966598511
10000,89,33.01732397079468
10000,90,30.648313283920288
10000,91,31.60674238204956
10000,93,28.78704023361206
10000,92,34.578224182128906
10000,94,29.803716897964478
10000,95,28.373368978500366
10000,96,31.299150705337524
10000,97,31.787026405334473
10000,99,29.668145895004272
10000,98,35.49722385406494
15000,0,62.749045610427856
15000,3,63.31886410713196
15000,1,71.27661943435669
15000,5,59.70281362533569
15000,2,75.72781348228455
15000,4,70.77198529243469
15000,7,61.46704959869385
15000,6,67.30064272880554
15000,8,58.8018913269043
15000,9,58.78277134895325
15000,10,74.25220894813538
15000,12,67.64533114433289
15000,14,66.83758091926575
15000,11,74.19765996932983
15000,13,72.69577264785767
15000,15,72.60139322280884
15000,16,63.78148555755615
15000,17,82.65324330329895
15000,21,60.590171575546265
15000,20,64.95681881904602
15000,18,70.03709292411804
15000,22,64.1781747341156
15000,23,62.618897438049316
15000,19,82.2509069442749
15000,24,51.49595046043396
15000,26,65.71763491630554
15000,27,73.76963257789612
15000,25,81.36962509155273
15000,28,80.08202290534973
15000,30,75.35055947303772
15000,31,65.70807075500488
15000,29,78.83300495147705
15000,32,82.35895800590515
15000,33,67.99375104904175
15000,35,63.923887968063354
15000,34,69.04728078842163
15000,38,67.64235067367554
15000,39,66.1882712841034
15000,37,74.01224327087402
15000,36,76.80241298675537
15000,40,74.50930309295654
15000,41,61.70095610618591
15000,42,64.5307228565216
15000,43,63.28343677520752
15000,45,59.133981704711914
15000,44,64.18705630302429
15000,46,65.57467651367188
15000,47,72.84419584274292
15000,48,71.04544734954834
15000,49,64.62914228439331
15000,51,66.05638289451599
15000,53,62.26118874549866
15000,52,69.5878381729126
15000,50,80.65380072593689
15000,55,57.55135893821716
15000,54,72.88926482200623
15000,56,68.13034653663635
15000,57,64.38819909095764
15000,58,69.71450924873352
15000,60,65.47350358963013
15000,63,52.38359332084656
15000,62,68.18124914169312
15000,59,85.12475228309631
15000,61,77.62403988838196
15000,64,62.55778980255127
15000,65,61.00412034988403
15000,66,57.92970132827759
15000,68,63.36386561393738
15000,67,65.97988533973694
15000,69,62.38636898994446
15000,70,72.63121056556702
15000,71,70.78638172149658
15000,73,57.72273802757263
15000,72,74.24235081672668
15000,74,76.65087652206421
15000,75,72.61038756370544
15000,76,80.28776931762695
15000,77,79.95832538604736
15000,80,67.05980730056763
15000,79,72.77230167388916
15000,78,76.89652752876282
15000,81,66.68508863449097
15000,82,70.44319438934326
15000,83,66.45595288276672
15000,84,58.6943519115448
15000,88,63.29255652427673
15000,85,76.52910089492798
15000,86,71.4807357788086
15000,87,71.37701559066772
15000,89,69.40591835975647
15000,90,53.93863606452942
15000,92,70.26639866828918
15000,91,72.87405586242676
15000,94,76.54890751838684
15000,93,80.76975917816162
15000,95,76.23367428779602
15000,96,79.23727202415466
15000,97,76.68922424316406
15000,98,68.49182343482971
15000,99,67.87078619003296
25000,3,177.2075972557068
25000,6,186.99698066711426
25000,4,198.9596712589264
25000,2,203.8647027015686
25000,7,171.60869884490967
25000,0,244.63712573051453
25000,1,217.33728981018066
25000,5,213.98474740982056
25000,8,170.4167025089264
25000,12,186.20174312591553
25000,10,187.14584803581238
25000,15,166.20679640769958
25000,14,179.39422059059143
25000,9,200.92236590385437
25000,13,193.3011453151703
25000,11,235.61771488189697
25000,16,159.93810033798218
25000,17,188.35803818702698
25000,20,185.97033882141113
25000,18,206.50488305091858
25000,21,206.4632432460785
25000,19,220.02078223228455
25000,22,242.38635516166687
25000,24,199.42543148994446
25000,23,289.6689655780792
25000,25,177.0203206539154
25000,26,189.23677277565002
25000,27,186.98295402526855
