Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,13,ZIP--ZINB,0,0.8040662718522207
D1,Dataset 1,13,ZIP--ZINB,1,2.0278080258462654
D1,Dataset 1,13,ZIP--ZINB,2,0.9974821431895996
D1,Dataset 1,13,ZIP--ZINB,3,-2.0032277277390635
D1,Dataset 1,13,ZIP--ZINB,4,0.991817977985356
D1,Dataset 1,13,ZIP--ZINB,5,4.125124583795685
D1,Dataset 1,13,ZIP--ZINB,6,3.391937222371876
D1,Dataset 1,13,ZIP--ZINB,7,1.2291011416724742
D1,Dataset 1,13,ZIP--ZINB,8,-3.192548441219489
D1,Dataset 1,13,ZIP--ZINB,9,0.4875504808471348
D1,Dataset 1,15,ZIP--ZINB,0,0.8437427951145565
D1,Dataset 1,15,ZIP--ZINB,1,1.985086314539375
D1,Dataset 1,15,ZIP--ZINB,2,1.0185268214757124
D1,Dataset 1,15,ZIP--ZINB,3,-2.076714053448244
D1,Dataset 1,15,ZIP--ZINB,4,1.019884601958988
D1,Dataset 1,15,ZIP--ZINB,5,4.356471359765028
D1,Dataset 1,15,ZIP--ZINB,6,3.339872554478038
D1,Dataset 1,15,ZIP--ZINB,7,1.0935535372945004
D1,Dataset 1,15,ZIP--ZINB,8,-2.539218901637565
D1,Dataset 1,15,ZIP--ZINB,9,0.3855866854150079
D1,Dataset 1,19,ZIP--ZINB,0,0.9256985513395491
D1,Dataset 1,19,ZIP--ZINB,1,2.0523793468739013
D1,Dataset 1,19,ZIP--ZINB,2,0.96770300311285
D1,Dataset 1,19,ZIP--ZINB,3,-1.80704554974959
D1,Dataset 1,19,ZIP--ZINB,4,0.9249258171343732
D1,Dataset 1,19,ZIP--ZINB,5,3.916878227172644
D1,Dataset 1,19,ZIP--ZINB,6,3.79724384292089
D1,Dataset 1,19,ZIP--ZINB,7,1.0791816974212272
D1,Dataset 1,19,ZIP--ZINB,8,-3.3067218419965734
D1,Dataset 1,19,ZIP--ZINB,9,0.3509837920405052
D1,Dataset 1,17,ZIP--ZINB,0,0.9210657832829032
D1,Dataset 1,17,ZIP--ZINB,1,2.0941009689994767
D1,Dataset 1,17,ZIP--ZINB,2,0.9395244734547856
D1,Dataset 1,17,ZIP--ZINB,3,-1.8883351123110643
D1,Dataset 1,17,ZIP--ZINB,4,0.929145291336806
D1,Dataset 1,17,ZIP--ZINB,5,4.383717683889184
D1,Dataset 1,17,ZIP--ZINB,6,3.405088822497991
D1,Dataset 1,17,ZIP--ZINB,7,0.9378240837938356
