Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
D1,Dataset 1,12,D1,ZINB,identity,-46003.343750329725,92016.68750065943,92056.20493842212,20000,5,True,16,0.0003097506345172,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,12,D1,P+NB,identity,-45360.02769272868,90732.05538545737,90779.47631077256,20000,6,True,14,8.808063226339868e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,12,D1,Z+P+NB,identity,-44791.077178228006,89598.15435645601,89661.3822568763,20000,8,True,24,3.6240129193482185e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,12,D1,ZIP--ZINB,identity,-44710.415420043,89440.830840086,89519.86571561136,20000,10,True,46,0.0009964433540998,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,13,D1,Poisson,identity,-100779.04027354407,201562.0805470881,201577.88752219325,20000,2,True,6,3.495286677424048e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,13,D1,NB,identity,-46582.68992710481,93171.37985420962,93195.09031686722,20000,3,True,17,0.0003762693128095,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,13,D1,ZIP,identity,-72690.83504661807,145389.67009323614,145421.2840434463,20000,4,True,12,0.0002153899454131,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,13,D1,ZINB,identity,-45880.06356428562,91770.12712857124,91809.64456633393,20000,5,True,17,0.0001711358371561,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,13,D1,P+NB,identity,-45208.79417825848,90429.58835651696,90477.0092818322,20000,6,True,19,0.000257012027788,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,13,D1,Z+P+NB,identity,-44694.83510139297,89405.67020278594,89468.89810320623,20000,8,True,25,0.0003280412621535,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,13,D1,ZIP--ZINB,identity,-44635.97305944033,89291.94611888066,89370.98099440603,20000,10,True,14,0.0001442036866547,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,15,D1,Poisson,identity,-97430.03174522571,194864.06349045143,194879.8704655565,20000,2,True,8,0.0003634483697042,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,15,D1,NB,identity,-46424.39590131583,92854.79180263166,92878.50226528928,20000,3,True,8,9.896566628333351e-06,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,15,D1,ZIP,identity,-70402.92484632738,140813.84969265477,140845.46364286492,20000,4,True,12,0.0003626794056012,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,15,D1,ZINB,identity,-45720.21348128558,91450.42696257116,91489.94440033384,20000,5,True,21,8.5964205117528e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,15,D1,P+NB,identity,-45061.00602121888,90134.01204243775,90181.432967753,20000,6,True,19,0.000187796019361,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,15,D1,Z+P+NB,identity,-44557.990506810325,89131.98101362065,89195.20891404094,20000,8,True,19,0.0003918393647514,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,15,D1,ZIP--ZINB,identity,-44482.360228769714,88984.72045753943,89063.7553330648,20000,10,True,33,0.0001812254389425,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,19,D1,Poisson,identity,-98436.0094584139,196876.0189168278,196891.82589193288,20000,2,True,7,7.71269108805761e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,19,D1,NB,identity,-46340.51045396707,92687.02090793414,92710.73137059176,20000,3,True,10,0.0001309063480015,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,19,D1,ZIP,identity,-70557.42005119036,141122.84010238072,141154.45405259088,20000,4,True,12,0.0003650785283817,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,19,D1,ZINB,identity,-45561.630638011,91133.261276022,91172.77871378468,20000,5,True,16,0.0002753137183179,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,19,D1,P+NB,identity,-44962.71728233735,89937.4345646747,89984.85548998992,20000,6,True,14,0.0001453080848961,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,19,D1,Z+P+NB,identity,-44382.13364152131,88780.26728304262,88843.4951834629,20000,8,True,24,0.0011316125612137,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,19,D1,ZIP--ZINB,identity,-44338.89328110627,88697.78656221254,88776.8214377379,20000,10,True,17,0.000204754332885,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,17,D1,Poisson,identity,-97116.57586043174,194237.15172086348,194252.95869596853,20000,2,True,6,0.0002639155438711,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,17,D1,NB,identity,-46508.35784353214,93022.71568706428,93046.42614972188,20000,3,True,18,5.810301300201992e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,17,D1,ZIP,identity,-70488.64801507659,140985.29603015317,141016.90998036333,20000,4,True,14,0.0001841556883441,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,17,D1,ZINB,identity,-45790.28366442482,91590.56732884963,91630.08476661232,20000,5,True,19,0.0001741451725468,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,17,D1,P+NB,identity,-45057.39299537701,90126.78599075404,90174.20691606923,20000,6,True,18,0.0002130548184418,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,17,D1,Z+P+NB,identity,-44533.75989554061,89083.51979108123,89146.74769150151,20000,8,True,22,0.0005888764150572,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,17,D1,ZIP--ZINB,identity,-44471.11378947631,88962.22757895262,89041.26245447798,20000,10,True,44,0.0002314296376172,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,18,D1,Poisson,identity,-99411.18247168224,198826.3649433645,198842.1719184696,20000,2,True,7,1.5836709820915562e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,18,D1,NB,identity,-46683.648969878064,93373.29793975611,93397.00840241372,20000,3,True,8,1.1987204475587264e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,18,D1,ZIP,identity,-71471.08686076784,142950.17372153568,142981.78767174584,20000,4,True,16,0.0001573462185526,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,18,D1,ZINB,identity,-45878.46924780293,91766.93849560586,91806.45593336856,20000,5,True,19,0.0005776487831983,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,18,D1,P+NB,identity,-45281.66260592602,90575.32521185205,90622.74613716728,20000,6,True,19,0.0004958980773412,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,18,D1,Z+P+NB,identity,-44698.12577703547,89412.25155407094,89475.47945449123,20000,8,True,24,0.0003347048418453,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,18,D1,ZIP--ZINB,identity,-44613.76061290424,89247.52122580848,89326.55610133384,20000,10,True,45,0.0002554869765666,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,16,D1,Poisson,identity,-98389.45035422826,196782.90070845647,196798.7076835616,20000,2,True,5,1.6603738336451457e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,16,D1,NB,identity,-46969.28499022002,93944.56998044004,93968.28044309764,20000,3,True,9,2.7823984113967137e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,16,D1,ZIP,identity,-71908.57925699085,143825.1585139817,143856.77246419186,20000,4,True,12,3.599383394126132e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,16,D1,ZINB,identity,-46277.95628337546,92565.91256675092,92605.4300045136,20000,5,True,26,6.736022817777076e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,16,D1,P+NB,identity,-45589.93233481252,91191.86466962504,91239.28559494026,20000,6,True,22,0.0001013153997249,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,16,D1,Z+P+NB,identity,-45075.47723203966,90166.95446407932,90230.1823644996,20000,8,True,20,0.0002458503654597,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,16,D1,ZIP--ZINB,identity,-45010.70986909395,90041.4197381879,90120.45461371329,20000,10,True,33,0.0004034708112757,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,20,D1,Poisson,identity,-97698.19016496625,195400.3803299325,195416.1873050376,20000,2,True,7,0.0001945617749623,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,20,D1,NB,identity,-46486.30465777333,92978.60931554668,93002.31977820428,20000,3,True,9,0.0003697846434747,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,20,D1,ZIP,identity,-70598.09958526841,141204.19917053683,141235.813120747,20000,4,True,12,0.0004242387931605,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,20,D1,ZINB,identity,-45744.05208076742,91498.10416153484,91537.62159929752,20000,5,True,15,0.0005624832445134,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,20,D1,P+NB,identity,-45117.081979477625,90246.16395895524,90293.58488427049,20000,6,True,20,0.000334241886895,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,20,D1,Z+P+NB,identity,-44580.23310059888,89176.46620119776,89239.69410161805,20000,8,True,27,0.0007769371122862,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,20,D1,ZIP--ZINB,identity,-44493.00691556478,89006.01383112956,89085.04870665492,20000,10,True,32,0.0003426786396118,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,21,D1,Poisson,identity,-95494.43755644464,190992.87511288928,191008.6820879944,20000,2,True,7,4.324834397426147e-06,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,21,D1,NB,identity,-46503.204998182686,93012.40999636536,93036.12045902298,20000,3,True,8,2.1835193841926448e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,21,D1,ZIP,identity,-68868.59395774934,137745.18791549868,137776.80186570884,20000,4,True,11,0.0001870303684934,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,21,D1,ZINB,identity,-45746.26791925701,91502.535838514,91542.0532762767,20000,5,True,25,0.0003587350782901,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,21,D1,P+NB,identity,-45135.42720428336,90282.85440856672,90330.27533388196,20000,6,True,16,0.0002096294848961,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,21,D1,Z+P+NB,identity,-44607.52353509667,89231.04707019334,89294.27497061362,20000,8,True,23,0.0001535631881443,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,21,D1,ZIP--ZINB,identity,-44531.51283064207,89083.02566128413,89162.0605368095,20000,10,True,16,8.197226103134891e-05,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,22,D1,Poisson,identity,-97338.9598319294,194681.9196638588,194697.72663896388,20000,2,True,8,0.000187869557973,not_computed,,0,Optimization terminated successfully
D1,Dataset 1,22,D1,NB,identity,-46255.84327520096,92517.68655040192,92541.39701305953,20000,3,True,8,1.004504681585347e-05,not_computed,,0,Optimization terminated successfully
