SourceFolder,Dataset,Link,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
C3_log_P_plus_NB,C3,log,P+NB,1.497330825143763,0.81,99,99,3.522743993309522,7.612782167260865,175.22205352783203
C3_log_Poisson,C3,log,Poisson,781.890276248203,0.01,99,99,3.254779315986553,8.663378773380815,112.43926644325256
C3_log_ZINB,C3,log,ZINB,7.471025780966556,0.26,99,99,5.612092611506608,11.14201994977102,162.2126660346985
C3_log_ZIP,C3,log,ZIP,8.257022972018603,0.26,99,99,6.10079376967458,12.88859667857068,162.63414645195007
C3_log_Z_plus_P_plus_NB,C3,log,Z+P+NB,0.5160862832526618,0.83,99,99,2.4309417307876715,7.564252644951739,186.28692054748532
H2AX1H60_identity_NB,H2AX1H60,identity,NB,231.83109388102,0.01,99,99,5.461187098468641,12.018647145209796,43.67137956619263
H2AX1H60_identity_P_plus_NB,H2AX1H60,identity,P+NB,38.16276967663498,0.01,99,99,2.790617874575159,7.186578442624748,45.65113544464111
H2AX1H60_identity_Poisson,H2AX1H60,identity,Poisson,877.5755864357488,0.01,99,99,2.4038468050714874,8.120446773997582,32.84964632987976
H2AX1H60_identity_ZINB,H2AX1H60,identity,ZINB,57.53991367908657,0.01,99,99,5.714558520647831,11.43910554350422,37.08691716194153
H2AX1H60_identity_ZIP,H2AX1H60,identity,ZIP,73.55217300597315,0.01,99,99,3.783127388601866,9.072555966336813,37.25540590286255
H2AX1H60_identity_Z_plus_P_plus_NB,H2AX1H60,identity,Z+P+NB,28.882344845258103,0.01,99,99,1.732134339352728,4.783556403277043,42.35648369789124
H2AX1H60_log_NB,H2AX1H60,log,NB,229.1288744340054,0.01,99,99,6.415323617820152,14.304707494294734,29.923090934753414
H2AX1H60_log_P_plus_NB,H2AX1H60,log,P+NB,24.561297898821067,0.01,99,99,2.2536445446437,5.813775648974294,43.628719329833984
H2AX1H60_log_Poisson,H2AX1H60,log,Poisson,865.6877321077391,0.01,99,99,2.308705914553992,7.205114349778569,24.34757423400879
H2AX1H60_log_ZINB,H2AX1H60,log,ZINB,56.40285823188788,0.01,99,99,5.406673500169667,10.375062959202658,65.39630389213562
H2AX1H60_log_ZIP,H2AX1H60,log,ZIP,72.27180672096847,0.01,99,99,3.78413610517542,10.737534507960072,36.25706100463867
H2AX1H60_log_Z_plus_P_plus_NB,H2AX1H60,log,Z+P+NB,21.470596559290243,0.01,99,99,1.693906118536532,5.8743378497684215,68.55130958557129
H2AX4H100_identity_NB,H2AX4H100,identity,NB,164.3326337664157,0.01,99,99,3.320801178108982,7.36538315499033,28.286880254745483
H2AX4H100_identity_P_plus_NB,H2AX4H100,identity,P+NB,8.222365863797677,0.06,99,99,2.867627159874572,8.170646345548578,43.4993851184845
H2AX4H100_identity_Poisson,H2AX4H100,identity,Poisson,170.09713671028385,0.01,99,99,2.045678828080809,7.29441197959486,29.632583141326904
H2AX4H100_identity_ZINB,H2AX4H100,identity,ZINB,5.528337524406197,0.08,99,99,2.4841050230403527,6.365123899286528,38.95504450798035
H2AX4H100_identity_ZIP,H2AX4H100,identity,ZIP,5.529573475699181,0.24,99,99,3.4756907559274377,7.72599481707743,35.47717618942261
H2AX4H100_identity_Z_plus_P_plus_NB,H2AX4H100,identity,Z+P+NB,5.52851044867748,0.03,99,99,1.2015707857805102,3.841812720197412,37.9886360168457
H2AX4H100_log_NB,H2AX4H100,log,NB,160.1645190347599,0.01,99,99,3.7155382154597287,7.928112261731075,29.135385274887085
H2AX4H100_log_P_plus_NB,H2AX4H100,log,P+NB,6.665201246116794,0.05,99,99,2.359916340732727,6.435549654507939,41.3803825378418
H2AX4H100_log_Poisson,H2AX4H100,log,Poisson,165.8929367663059,0.01,99,99,1.9847050444129604,5.7204581230676,23.26886367797852
H2AX4H100_log_ZINB,H2AX4H100,log,ZINB,4.210367390819556,0.21,99,99,2.3964334387117034,6.140733876438207,26.61322855949402
H2AX4H100_log_ZIP,H2AX4H100,log,ZIP,4.210369582061048,0.35,99,99,3.455221978312771,7.370062553639263,29.58163809776306
H2AX4H100_log_Z_plus_P_plus_NB,H2AX4H100,log,Z+P+NB,4.210369597793942,0.07,99,99,1.4344574828892842,4.391689971617825,33.679885149002075
