SourceFolder,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
C3_identity_NB,C3,ZIP--ZINB,identity,-3078.3765748799897,6180.753149759979,6257.425467598856,4400,12,True,97,155.56836872854174,not_computed,,0,Optimization terminated successfully
C3_identity_P_plus_NB,C3,Poisson,identity,-3466.635873392149,6939.271746784298,6958.439826244016,4400,3,True,20,0.0008235605049549,not_computed,,0,Optimization terminated successfully
C3_identity_P_plus_NB,C3,NB,identity,-3152.4296064626533,6312.859212925307,6338.416652204932,4400,4,True,11,0.0026096703101643,not_computed,,0,Optimization terminated successfully
C3_identity_P_plus_NB,C3,ZIP,identity,-3081.2093677933444,6172.418735586689,6204.365534686221,4400,5,True,22,0.0012091976703629,not_computed,,0,Optimization terminated successfully
C3_identity_P_plus_NB,C3,ZINB,identity,-3080.6803349857278,6173.360669971455,6211.696828890893,4400,6,True,32,0.0009653133892979,not_computed,,0,Optimization terminated successfully
C3_identity_P_plus_NB,C3,P+NB,identity,-3079.9558058881357,6175.911611776271,6227.026490335521,4400,8,True,39,0.0162388478386219,not_computed,,0,Optimization terminated successfully
C3_identity_P_plus_NB,C3,Z+P+NB,identity,-3079.3201117551143,6178.640223510229,6242.533821709292,4400,10,True,99,0.0017074504079346,not_computed,,0,Optimization terminated successfully
C3_identity_P_plus_NB,C3,ZIP--ZINB,identity,-3078.3765748799897,6180.753149759979,6257.425467598856,4400,12,True,97,155.56836872854174,not_computed,,0,Optimization terminated successfully
C3_identity_Poisson,C3,Poisson,identity,-3466.635873392149,6939.271746784298,6958.439826244016,4400,3,True,20,0.0008235605049549,not_computed,,0,Optimization terminated successfully
C3_identity_Poisson,C3,NB,identity,-3152.4296064626533,6312.859212925307,6338.416652204932,4400,4,True,11,0.0026096703101643,not_computed,,0,Optimization terminated successfully
C3_identity_Poisson,C3,ZIP,identity,-3081.2093677933444,6172.418735586689,6204.365534686221,4400,5,True,22,0.0012091976703629,not_computed,,0,Optimization terminated successfully
C3_identity_Poisson,C3,ZINB,identity,-3080.6803349857278,6173.360669971455,6211.696828890893,4400,6,True,32,0.0009653133892979,not_computed,,0,Optimization terminated successfully
C3_identity_Poisson,C3,P+NB,identity,-3079.9558058881357,6175.911611776271,6227.026490335521,4400,8,True,39,0.0162388478386219,not_computed,,0,Optimization terminated successfully
C3_identity_Poisson,C3,Z+P+NB,identity,-3079.3201117551143,6178.640223510229,6242.533821709292,4400,10,True,99,0.0017074504079346,not_computed,,0,Optimization terminated successfully
C3_identity_Poisson,C3,ZIP--ZINB,identity,-3078.3765748799897,6180.753149759979,6257.425467598856,4400,12,True,97,155.56836872854174,not_computed,,0,Optimization terminated successfully
C3_identity_ZINB,C3,Poisson,identity,-3466.635873392149,6939.271746784298,6958.439826244016,4400,3,True,20,0.0008235605049549,not_computed,,0,Optimization terminated successfully
C3_identity_ZINB,C3,NB,identity,-3152.4296064626533,6312.859212925307,6338.416652204932,4400,4,True,11,0.0026096703101643,not_computed,,0,Optimization terminated successfully
C3_identity_ZINB,C3,ZIP,identity,-3081.2093677933444,6172.418735586689,6204.365534686221,4400,5,True,22,0.0012091976703629,not_computed,,0,Optimization terminated successfully
C3_identity_ZINB,C3,ZINB,identity,-3080.6803349857278,6173.360669971455,6211.696828890893,4400,6,True,32,0.0009653133892979,not_computed,,0,Optimization terminated successfully
C3_identity_ZINB,C3,P+NB,identity,-3079.9558058881357,6175.911611776271,6227.026490335521,4400,8,True,39,0.0162388478386219,not_computed,,0,Optimization terminated successfully
C3_identity_ZINB,C3,Z+P+NB,identity,-3079.3201117551143,6178.640223510229,6242.533821709292,4400,10,True,99,0.0017074504079346,not_computed,,0,Optimization terminated successfully
C3_identity_ZINB,C3,ZIP--ZINB,identity,-3078.3765748799897,6180.753149759979,6257.425467598856,4400,12,True,97,155.56836872854174,not_computed,,0,Optimization terminated successfully
C3_identity_ZIP,C3,Poisson,identity,-3466.635873392149,6939.271746784298,6958.439826244016,4400,3,True,20,0.0008235605049549,not_computed,,0,Optimization terminated successfully
C3_identity_ZIP,C3,NB,identity,-3152.4296064626533,6312.859212925307,6338.416652204932,4400,4,True,11,0.0026096703101643,not_computed,,0,Optimization terminated successfully
C3_identity_ZIP,C3,ZIP,identity,-3081.2093677933444,6172.418735586689,6204.365534686221,4400,5,True,22,0.0012091976703629,not_computed,,0,Optimization terminated successfully
C3_identity_ZIP,C3,ZINB,identity,-3080.6803349857278,6173.360669971455,6211.696828890893,4400,6,True,32,0.0009653133892979,not_computed,,0,Optimization terminated successfully
C3_identity_ZIP,C3,P+NB,identity,-3079.9558058881357,6175.911611776271,6227.026490335521,4400,8,True,39,0.0162388478386219,not_computed,,0,Optimization terminated successfully
C3_identity_ZIP,C3,Z+P+NB,identity,-3079.3201117551143,6178.640223510229,6242.533821709292,4400,10,True,99,0.0017074504079346,not_computed,,0,Optimization terminated successfully
C3_identity_ZIP,C3,ZIP--ZINB,identity,-3078.3765748799897,6180.753149759979,6257.425467598856,4400,12,True,97,155.56836872854174,not_computed,,0,Optimization terminated successfully
C3_identity_Z_plus_P_plus_NB,C3,Poisson,identity,-3466.635873392149,6939.271746784298,6958.439826244016,4400,3,True,20,0.0008235605049549,not_computed,,0,Optimization terminated successfully
C3_identity_Z_plus_P_plus_NB,C3,NB,identity,-3152.4296064626533,6312.859212925307,6338.416652204932,4400,4,True,11,0.0026096703101643,not_computed,,0,Optimization terminated successfully
C3_identity_Z_plus_P_plus_NB,C3,ZIP,identity,-3081.2093677933444,6172.418735586689,6204.365534686221,4400,5,True,22,0.0012091976703629,not_computed,,0,Optimization terminated successfully
C3_identity_Z_plus_P_plus_NB,C3,ZINB,identity,-3080.6803349857278,6173.360669971455,6211.696828890893,4400,6,True,32,0.0009653133892979,not_computed,,0,Optimization terminated successfully
C3_identity_Z_plus_P_plus_NB,C3,P+NB,identity,-3079.9558058881357,6175.911611776271,6227.026490335521,4400,8,True,39,0.0162388478386219,not_computed,,0,Optimization terminated successfully
C3_identity_Z_plus_P_plus_NB,C3,Z+P+NB,identity,-3079.3201117551143,6178.640223510229,6242.533821709292,4400,10,True,99,0.0017074504079346,not_computed,,0,Optimization terminated successfully
C3_identity_Z_plus_P_plus_NB,C3,ZIP--ZINB,identity,-3078.3765748799897,6180.753149759979,6257.425467598856,4400,12,True,97,155.56836872854174,not_computed,,0,Optimization terminated successfully
C3_log_NB,C3,Poisson,log,-3468.148246215904,6942.296492431808,6961.464571891526,4400,3,True,10,0.0001975996462135,not_computed,,0,Optimization terminated successfully
C3_log_NB,C3,NB,log,-3153.5422421105554,6315.084484221111,6340.641923500736,4400,4,True,18,0.0021416996047491,not_computed,,0,Optimization terminated successfully
C3_log_NB,C3,ZIP,log,-3081.331619577812,6172.663239155623,6204.610038255155,4400,5,True,23,0.0004492188997176,not_computed,,0,Optimization terminated successfully
C3_log_NB,C3,ZINB,log,-3080.9386209822856,6173.877241964571,6212.213400884009,4400,6,True,22,0.0001100444358055,not_computed,,0,Optimization terminated successfully
C3_log_NB,C3,P+NB,log,-3077.951773504374,6171.903547008748,6223.018425567999,4400,8,True,51,9.055053015316616e-05,not_computed,,0,Optimization terminated successfully
C3_log_NB,C3,Z+P+NB,log,-3077.4611512334286,6174.922302466857,6238.815900665921,4400,10,True,51,0.0092831269260926,not_computed,,0,Optimization terminated successfully
C3_log_NB,C3,ZIP--ZINB,log,-3077.2031080918023,6178.406216183605,6255.078534022481,4400,12,True,223,0.0170697738854244,not_computed,,0,Optimization terminated successfully
C3_log_P_plus_NB,C3,Poisson,log,-3468.148246215904,6942.296492431808,6961.464571891526,4400,3,True,10,0.0001975996462135,not_computed,,0,Optimization terminated successfully
C3_log_P_plus_NB,C3,NB,log,-3153.5422421105554,6315.084484221111,6340.641923500736,4400,4,True,18,0.0021416996047491,not_computed,,0,Optimization terminated successfully
C3_log_P_plus_NB,C3,ZIP,log,-3081.331619577812,6172.663239155623,6204.610038255155,4400,5,True,23,0.0004492188997176,not_computed,,0,Optimization terminated successfully
C3_log_P_plus_NB,C3,ZINB,log,-3080.9386209822856,6173.877241964571,6212.213400884009,4400,6,True,22,0.0001100444358055,not_computed,,0,Optimization terminated successfully
C3_log_P_plus_NB,C3,P+NB,log,-3077.951773504374,6171.903547008748,6223.018425567999,4400,8,True,51,9.055053015316616e-05,not_computed,,0,Optimization terminated successfully
C3_log_P_plus_NB,C3,Z+P+NB,log,-3077.4611512334286,6174.922302466857,6238.815900665921,4400,10,True,51,0.0092831269260926,not_computed,,0,Optimization terminated successfully
C3_log_P_plus_NB,C3,ZIP--ZINB,log,-3077.2031080918023,6178.406216183605,6255.078534022481,4400,12,True,223,0.0170697738854244,not_computed,,0,Optimization terminated successfully
C3_log_Poisson,C3,Poisson,log,-3468.148246215904,6942.296492431808,6961.464571891526,4400,3,True,10,0.0001975996462135,not_computed,,0,Optimization terminated successfully
C3_log_Poisson,C3,NB,log,-3153.5422421105554,6315.084484221111,6340.641923500736,4400,4,True,18,0.0021416996047491,not_computed,,0,Optimization terminated successfully
C3_log_Poisson,C3,ZIP,log,-3081.331619577812,6172.663239155623,6204.610038255155,4400,5,True,23,0.0004492188997176,not_computed,,0,Optimization terminated successfully
C3_log_Poisson,C3,ZINB,log,-3080.9386209822856,6173.877241964571,6212.213400884009,4400,6,True,22,0.0001100444358055,not_computed,,0,Optimization terminated successfully
C3_log_Poisson,C3,P+NB,log,-3077.951773504374,6171.903547008748,6223.018425567999,4400,8,True,51,9.055053015316616e-05,not_computed,,0,Optimization terminated successfully
C3_log_Poisson,C3,Z+P+NB,log,-3077.4611512334286,6174.922302466857,6238.815900665921,4400,10,True,51,0.0092831269260926,not_computed,,0,Optimization terminated successfully
C3_log_Poisson,C3,ZIP--ZINB,log,-3077.2031080918023,6178.406216183605,6255.078534022481,4400,12,True,223,0.0170697738854244,not_computed,,0,Optimization terminated successfully
C3_log_ZINB,C3,Poisson,log,-3468.148246215904,6942.296492431808,6961.464571891526,4400,3,True,10,0.0001975996462135,not_computed,,0,Optimization terminated successfully
C3_log_ZINB,C3,NB,log,-3153.5422421105554,6315.084484221111,6340.641923500736,4400,4,True,18,0.0021416996047491,not_computed,,0,Optimization terminated successfully
C3_log_ZINB,C3,ZIP,log,-3081.331619577812,6172.663239155623,6204.610038255155,4400,5,True,23,0.0004492188997176,not_computed,,0,Optimization terminated successfully
C3_log_ZINB,C3,ZINB,log,-3080.9386209822856,6173.877241964571,6212.213400884009,4400,6,True,22,0.0001100444358055,not_computed,,0,Optimization terminated successfully
C3_log_ZINB,C3,P+NB,log,-3077.951773504374,6171.903547008748,6223.018425567999,4400,8,True,51,9.055053015316616e-05,not_computed,,0,Optimization terminated successfully
C3_log_ZINB,C3,Z+P+NB,log,-3077.4611512334286,6174.922302466857,6238.815900665921,4400,10,True,51,0.0092831269260926,not_computed,,0,Optimization terminated successfully
C3_log_ZINB,C3,ZIP--ZINB,log,-3077.2031080918023,6178.406216183605,6255.078534022481,4400,12,True,223,0.0170697738854244,not_computed,,0,Optimization terminated successfully
C3_log_ZIP,C3,Poisson,log,-3468.148246215904,6942.296492431808,6961.464571891526,4400,3,True,10,0.0001975996462135,not_computed,,0,Optimization terminated successfully
C3_log_ZIP,C3,NB,log,-3153.5422421105554,6315.084484221111,6340.641923500736,4400,4,True,18,0.0021416996047491,not_computed,,0,Optimization terminated successfully
C3_log_ZIP,C3,ZIP,log,-3081.331619577812,6172.663239155623,6204.610038255155,4400,5,True,23,0.0004492188997176,not_computed,,0,Optimization terminated successfully
C3_log_ZIP,C3,ZINB,log,-3080.9386209822856,6173.877241964571,6212.213400884009,4400,6,True,22,0.0001100444358055,not_computed,,0,Optimization terminated successfully
C3_log_ZIP,C3,P+NB,log,-3077.951773504374,6171.903547008748,6223.018425567999,4400,8,True,51,9.055053015316616e-05,not_computed,,0,Optimization terminated successfully
C3_log_ZIP,C3,Z+P+NB,log,-3077.4611512334286,6174.922302466857,6238.815900665921,4400,10,True,51,0.0092831269260926,not_computed,,0,Optimization terminated successfully
