SourceFolder,Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C2_identity_P_plus_NB,C2,identity,,ZIP--ZINB,2.140834093093872,True,87,-2843.366477897608,5710.732955795215,5790.299218315894,0.0079804079419361,not_computed
C2_identity_Poisson,C2,identity,,Poisson,0.1331884860992431,True,29,-3526.904000784989,7059.808001569978,7079.699567200148,9.700982582216966e-05,not_computed
C2_identity_Poisson,C2,identity,,NB,0.302891731262207,True,34,-2939.450897497194,5886.901794994388,5913.423882501281,0.036799884449806,not_computed
C2_identity_Poisson,C2,identity,,ZIP,0.438051700592041,True,21,-2843.3676581344,5696.7353162688005,5729.887925652417,2.083284280907094e-05,not_computed
C2_identity_Poisson,C2,identity,,ZINB,1.3101508617401123,True,45,-2843.366820286362,5698.733640572724,5738.516771833063,0.0013320200490127,not_computed
C2_identity_Poisson,C2,identity,,P+NB,0.954470157623291,True,46,-2852.7501817342063,5721.500363468413,5774.544538482199,1068.120085966574,not_computed
C2_identity_Poisson,C2,identity,,Z+P+NB,1.3897080421447754,True,73,-2843.3676414661363,5706.735282932273,5773.040501699505,0.0050455309340122,not_computed
C2_identity_Poisson,C2,identity,,ZIP--ZINB,2.1191940307617188,True,87,-2843.366477897608,5710.732955795215,5790.299218315894,0.0079804079419361,not_computed
C2_identity_ZINB,C2,identity,,Poisson,0.1268479824066162,True,29,-3526.904000784989,7059.808001569978,7079.699567200148,9.700982582216966e-05,not_computed
C2_identity_ZINB,C2,identity,,NB,0.3042409420013428,True,34,-2939.450897497194,5886.901794994388,5913.423882501281,0.036799884449806,not_computed
C2_identity_ZINB,C2,identity,,ZIP,0.4451572895050049,True,21,-2843.3676581344,5696.7353162688005,5729.887925652417,2.083284280907094e-05,not_computed
C2_identity_ZINB,C2,identity,,ZINB,1.3147549629211426,True,45,-2843.366820286362,5698.733640572724,5738.516771833063,0.0013320200490127,not_computed
C2_identity_ZINB,C2,identity,,P+NB,0.9727005958557128,True,46,-2852.7501817342063,5721.500363468413,5774.544538482199,1068.120085966574,not_computed
C2_identity_ZINB,C2,identity,,Z+P+NB,1.420196294784546,True,73,-2843.3676414661363,5706.735282932273,5773.040501699505,0.0050455309340122,not_computed
C2_identity_ZINB,C2,identity,,ZIP--ZINB,2.1604161262512207,True,87,-2843.366477897608,5710.732955795215,5790.299218315894,0.0079804079419361,not_computed
C2_identity_ZIP,C2,identity,,Poisson,0.1273705959320068,True,29,-3526.904000784989,7059.808001569978,7079.699567200148,9.700982582216966e-05,not_computed
C2_identity_ZIP,C2,identity,,NB,0.300708532333374,True,34,-2939.450897497194,5886.901794994388,5913.423882501281,0.036799884449806,not_computed
C2_identity_ZIP,C2,identity,,ZIP,0.4329946041107178,True,21,-2843.3676581344,5696.7353162688005,5729.887925652417,2.083284280907094e-05,not_computed
C2_identity_ZIP,C2,identity,,ZINB,1.304443359375,True,45,-2843.366820286362,5698.733640572724,5738.516771833063,0.0013320200490127,not_computed
C2_identity_ZIP,C2,identity,,P+NB,0.9501006603240968,True,46,-2852.7501817342063,5721.500363468413,5774.544538482199,1068.120085966574,not_computed
C2_identity_ZIP,C2,identity,,Z+P+NB,1.3846616744995115,True,73,-2843.3676414661363,5706.735282932273,5773.040501699505,0.0050455309340122,not_computed
C2_identity_ZIP,C2,identity,,ZIP--ZINB,2.1082351207733154,True,87,-2843.366477897608,5710.732955795215,5790.299218315894,0.0079804079419361,not_computed
C2_identity_Z_plus_P_plus_NB,C2,identity,,Poisson,0.133134126663208,True,29,-3526.904000784989,7059.808001569978,7079.699567200148,9.700982582216966e-05,not_computed
C2_identity_Z_plus_P_plus_NB,C2,identity,,NB,0.3075542449951172,True,34,-2939.450897497194,5886.901794994388,5913.423882501281,0.036799884449806,not_computed
C2_identity_Z_plus_P_plus_NB,C2,identity,,ZIP,0.4446675777435303,True,21,-2843.3676581344,5696.7353162688005,5729.887925652417,2.083284280907094e-05,not_computed
C2_identity_Z_plus_P_plus_NB,C2,identity,,ZINB,1.3164644241333008,True,45,-2843.366820286362,5698.733640572724,5738.516771833063,0.0013320200490127,not_computed
C2_identity_Z_plus_P_plus_NB,C2,identity,,P+NB,0.9610979557037354,True,46,-2852.7501817342063,5721.500363468413,5774.544538482199,1068.120085966574,not_computed
C2_identity_Z_plus_P_plus_NB,C2,identity,,Z+P+NB,1.4035522937774658,True,73,-2843.3676414661363,5706.735282932273,5773.040501699505,0.0050455309340122,not_computed
C2_identity_Z_plus_P_plus_NB,C2,identity,,ZIP--ZINB,2.13650894165039,True,87,-2843.366477897608,5710.732955795215,5790.299218315894,0.0079804079419361,not_computed
C2_log_NB,C2,log,,Poisson,0.0392353534698486,True,9,-3528.6965528059327,7063.393105611865,7083.284671242035,0.0038090123067604,not_computed
C2_log_NB,C2,log,,NB,0.130939245223999,True,19,-2940.5233778138727,5889.046755627745,5915.568843134638,0.0002458548153754,not_computed
C2_log_NB,C2,log,,ZIP,0.1970491409301757,True,18,-2843.691105360311,5697.382210720622,5730.534820104239,0.0065533183826573,not_computed
C2_log_NB,C2,log,,ZINB,0.5892198085784912,True,38,-2843.690195973953,5699.380391947906,5739.163523208245,0.0018641602715945,not_computed
C2_log_NB,C2,log,,P+NB,0.9848465919494628,True,74,-2846.2199269392604,5708.439853878521,5761.484028892307,0.00081041960334,not_computed
C2_log_NB,C2,log,,Z+P+NB,2.148864507675171,True,58,-2839.722571297944,5699.445142595888,5765.75036136312,0.0290072130110274,not_computed
